Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 09:56:43 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	-1,78021978022	-3,93406593407
0,0004	-1,80952380952	-3,95848595849
0,0008	-1,83882783883	-3,96336996337
0,0012	-1,86324786325	-3,96825396825
0,0016	-1,88278388278	-3,97802197802
0,002	-1,9072039072	-3,98290598291
0,0024	-1,93162393162	-3,99267399267
0,0028	-1,95604395604	-4,00732600733
0,0032	-1,98046398046	-4,02197802198
0,0036	-2,00488400488	-4,03174603175
0,004	-2,03418803419	-4,03174603175
0,0044	-2,05372405372	-4,03663003663
0,0048	-2,07326007326	-4,04151404151
0,0052	-2,09768009768	-4,05616605617
0,0056	-2,1221001221	-4,06593406593
0,006	-2,1514041514	-4,08058608059
0,0064	-2,18559218559	-4,08547008547
0,0068	-2,20512820513	-4,09035409035
0,0072	-2,22466422466	-4,09523809524
0,0076	-2,23931623932	-4,10012210012
0,008	-2,26862026862	-4,10989010989
0,0084	-2,29792429792	-4,11965811966
0,0088	-2,31746031746	-4,12454212454
0,0092	-2,35164835165	-4,13919413919
0,0096	-2,3663003663	-4,14896214896
0,01	-2,3956043956	-4,14896214896
0,0104	-2,41025641026	-4,15384615385
0,0108	-2,43467643468	-4,16361416361
0,0112	-2,45421245421	-4,1684981685
0,0116	-2,47863247863	-4,17338217338
0,012	-2,5177045177	-4,17826617827
0,0124	-2,53235653236	-4,19291819292
0,0128	-2,55677655678	-4,1978021978
0,0132	-2,57631257631	-4,20268620269
0,0136	-2,59584859585	-4,21245421245
0,014	-2,62026862027	-4,21245421245
0,0144	-2,64468864469	-4,22222222222
0,0148	-2,66910866911	-4,23199023199
0,0152	-2,69352869353	-4,23687423687
0,0156	-2,71794871795	-4,24175824176
0,016	-2,73748473748	-4,24664224664
0,0164	-2,75702075702	-4,24175824176
0,0168	-2,78144078144	-4,25641025641
0,0172	-2,80586080586	-4,26617826618
0,0176	-2,8253968254	-4,27106227106
0,018	-2,84981684982	-4,28083028083
0,0184	-2,86935286935	-4,28083028083
0,0188	-2,89377289377	-4,2905982906
0,0192	-2,91330891331	-4,2905982906
0,0196	-2,93284493284	-4,29548229548
0,02	-2,95726495726	-4,30036630037
0,0204	-2,98168498168	-4,31013431013
0,0208	-3,01098901099	-4,31501831502
0,0212	-3,03052503053	-4,32478632479
0,0216	-3,04517704518	-4,3199023199
0,022	-3,0695970696	-4,3199023199
0,0224	-3,08913308913	-4,32478632479
0,0228	-3,10866910867	-4,32967032967
0,0232	-3,13308913309	-4,33455433455
0,0236	-3,15262515263	-4,33943833944
0,024	-3,18192918193	-4,35409035409
0,0244	-3,20146520147	-4,34920634921
0,0248	-3,21611721612	-4,35409035409
0,0252	-3,23565323565	-4,35409035409
0,0256	-3,25030525031	-4,35897435897
0,026	-3,27472527473	-4,35897435897
0,0264	-3,29914529915	-4,36874236874
0,0268	-3,32356532357	-4,37362637363
0,0272	-3,3431013431	-4,37362637363
0,0276	-3,36263736264	-4,37851037851
0,028	-3,38217338217	-4,37851037851
0,0284	-3,40170940171	-4,38339438339
0,0288	-3,42124542125	-4,37851037851
0,0292	-3,44566544567	-4,39316239316
0,0296	-3,47008547009	-4,38827838828
0,03	-3,47985347985	-4,39316239316
0,0304	-3,50427350427	-4,39316239316
0,0308	-3,52869352869	-4,39804639805
0,0312	-3,53846153846	-4,39316239316
0,0316	-3,55311355311	-4,40293040293
0,032	-3,58241758242	-4,39804639805
0,0324	-3,60683760684	-4,4126984127
0,0328	-3,62637362637	-4,41758241758
0,0332	-3,64102564103	-4,4126984127
0,0336	-3,65567765568	-4,4126984127
0,034	-3,67521367521	-4,40781440781
0,0344	-3,68986568987	-4,4126984127
0,0348	-3,7094017094	-4,4126984127
0,0352	-3,73382173382	-4,4126984127
0,0356	-3,75824175824	-4,42246642247
0,036	-3,77289377289	-4,42246642247
0,0364	-3,78754578755	-4,42246642247
0,0368	-3,8021978022	-4,41758241758
0,0372	-3,82173382173	-4,41758241758
0,0376	-3,84126984127	-4,42246642247
0,038	-3,86080586081	-4,42246642247
0,0384	-3,88522588523	-4,42735042735
0,0388	-3,90964590965	-4,43223443223
0,0392	-3,91452991453	-4,42735042735
0,0396	-3,92918192918	-4,42246642247
0,04	-3,94383394383	-4,42246642247
0,0404	-3,96825396825	-4,42246642247
0,0408	-3,98290598291	-4,42735042735
0,0412	-4,01221001221	-4,43223443223
0,0416	-4,02197802198	-4,43223443223
0,042	-4,03663003663	-4,42735042735
0,0424	-4,05128205128	-4,42735042735
0,0428	-4,06593406593	-4,42246642247
0,0432	-4,08058608059	-4,42246642247
0,0436	-4,10012210012	-4,4126984127
0,044	-4,11965811966	-4,42246642247
0,0444	-4,13919413919	-4,42735042735
0,0448	-4,15384615385	-4,42246642247
0,0452	-4,17338217338	-4,42246642247
0,0456	-4,18803418803	-4,4126984127
0,046	-4,19291819292	-4,4126984127
0,0464	-4,21733821734	-4,40781440781
0,0468	-4,23199023199	-4,40781440781
0,0472	-4,24664224664	-4,41758241758
0,0476	-4,27106227106	-4,4126984127
0,048	-4,28083028083	-4,40781440781
0,0484	-4,2905982906	-4,40293040293
0,0488	-4,30036630037	-4,40293040293
0,0492	-4,3199023199	-4,40293040293
0,0496	-4,33943833944	-4,39804639805
0,05	-4,36874236874	-4,39316239316
0,0504	-4,37362637363	-4,39804639805
0,0508	-4,38827838828	-4,39316239316
0,0512	-4,39804639805	-4,38339438339
0,0516	-4,40781440781	-4,38339438339
0,052	-4,42735042735	-4,37362637363
0,0524	-4,442002442	-4,37851037851
0,0528	-4,45665445665	-4,37362637363
0,0532	-4,47619047619	-4,37851037851
0,0536	-4,49084249084	-4,36874236874
0,054	-4,50061050061	-4,36874236874
0,0544	-4,50549450549	-4,34920634921
0,0548	-4,52014652015	-4,35897435897
0,0552	-4,5347985348	-4,35409035409
0,0556	-4,54945054945	-4,35409035409
0,056	-4,56898656899	-4,35409035409
0,0564	-4,57875457875	-4,34432234432
0,0568	-4,58852258852	-4,33943833944
0,0572	-4,60317460317	-4,32478632479
0,0576	-4,61294261294	-4,32478632479
0,058	-4,62759462759	-4,32478632479
0,0584	-4,63736263736	-4,31501831502
0,0588	-4,66178266178	-4,3199023199
0,0592	-4,67155067155	-4,3199023199
0,0596	-4,68131868132	-4,31013431013
