Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 09:44:23 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	5,41391941392	4,38827838828
0,0004	5,33089133089	4,26129426129
0,0008	5,22832722833	4,14407814408
0,0012	5,13064713065	4,02686202686
0,0016	5,01831501832	3,89499389499
0,002	4,9010989011	3,76312576313
0,0024	4,778998779	3,62148962149
0,0028	4,6568986569	3,49450549451
0,0032	4,52991452991	3,35286935287
0,0036	4,4126984127	3,221001221
0,004	4,28083028083	3,07448107448
0,0044	4,14407814408	2,92796092796
0,0048	4,00244200244	2,77655677656
0,0052	3,86080586081	2,62026862027
0,0056	3,71428571429	2,46398046398
0,006	3,57264957265	2,31746031746
0,0064	3,43101343101	2,16117216117
0,0068	3,27960927961	2,00488400488
0,0072	3,12332112332	1,84371184371
0,0076	2,96703296703	1,66788766789
0,008	2,80097680098	1,49694749695
0,0084	2,64468864469	1,33577533578
0,0088	2,47863247863	1,1746031746
0,0092	2,32234432234	1,00366300366
0,0096	2,15628815629	0,842490842491
0,01	1,99023199023	0,671550671551
0,0104	1,81440781441	0,490842490842
0,0108	1,65323565324	0,32967032967
0,0112	1,47741147741	0,148962148962
0,0116	1,30647130647	-0,017094017094
0,012	1,14041514042	-0,18315018315
0,0124	0,974358974359	-0,349206349206
0,0128	0,798534798535	-0,525030525031
0,0132	0,617826617827	-0,691086691087
0,0136	0,456654456654	-0,862026862027
0,014	0,266178266178	-1,04273504274
0,0144	0,105006105006	-1,20390720391
0,0148	-0,0708180708181	-1,36507936508
0,0152	-0,23199023199	-1,53113553114
0,0156	-0,407814407814	-1,69719169719
0,016	-0,573870573871	-1,85836385836
0,0164	-0,749694749695	-2,0293040293
0,0168	-0,925518925519	-2,18559218559
0,0172	-1,09645909646	-2,34188034188
0,0176	-1,25763125763	-2,50305250305
0,018	-1,4188034188	-2,64957264957
0,0184	-1,57997557998	-2,80097680098
0,0188	-1,75091575092	-2,95726495726
0,0192	-1,90231990232	-3,10866910867
0,0196	-2,07326007326	-3,25518925519
0,02	-2,22954822955	-3,39682539683
0,0204	-2,38095238095	-3,53357753358
0,0208	-2,52258852259	-3,66544566545
0,0212	-2,67399267399	-3,79242979243
0,0216	-2,82051282051	-3,9242979243
0,022	-2,96703296703	-4,05128205128
0,0224	-3,10866910867	-4,17826617827
0,0228	-3,24542124542	-4,2905982906
0,0232	-3,37728937729	-4,40293040293
0,0236	-3,49938949939	-4,51526251526
0,024	-3,62148962149	-4,62271062271
0,0244	-3,74847374847	-4,72039072039
0,0248	-3,86080586081	-4,81807081807
0,0252	-3,98290598291	-4,91086691087
0,0256	-4,09035409035	-5,00854700855
0,026	-4,19291819292	-5,08669108669
0,0264	-4,28571428571	-5,15995115995
0,0268	-4,38339438339	-5,23321123321
0,0272	-4,48107448107	-5,30647130647
0,0276	-4,5641025641	-5,36996336996
0,028	-4,65201465201	-5,43345543346
0,0284	-4,72527472527	-5,4822954823
0,0288	-4,79365079365	-5,52625152625
0,0292	-4,86202686203	-5,57020757021
0,0296	-4,91575091575	-5,60927960928
0,03	-4,97435897436	-5,64346764347
0,0304	-5,02808302808	-5,67277167277
0,0308	-5,08180708181	-5,69230769231
0,0312	-5,115995116	-5,71184371184
0,0316	-5,15995115995	-5,72161172161
0,032	-5,18437118437	-5,72161172161
0,0324	-5,19902319902	-5,7264957265
0,0328	-5,21855921856	-5,7264957265
0,0332	-5,2380952381	-5,71672771673
0,0336	-5,25274725275	-5,70695970696
0,034	-5,2673992674	-5,69230769231
0,0344	-5,26251526252	-5,663003663
0,0348	-5,24786324786	-5,62881562882
0,0352	-5,23321123321	-5,58485958486
0,0356	-5,20879120879	-5,54578754579
0,036	-5,19413919414	-5,50671550672
0,0364	-5,1746031746	-5,45787545788
0,0368	-5,13553113553	-5,40415140415
0,0372	-5,09645909646	-5,34065934066
0,0376	-5,0525030525	-5,27228327228
0,038	-5,00366300366	-5,19413919414
0,0384	-4,94505494505	-5,12576312576
0,0388	-4,88644688645	-5,04273504274
0,0392	-4,82295482295	-4,95970695971
0,0396	-4,75946275946	-4,87667887668
0,04	-4,6862026862	-4,778998779
0,0404	-4,60317460317	-4,67643467643
0,0408	-4,51037851038	-4,5641025641
0,0412	-4,42246642247	-4,45665445665
0,0416	-4,32967032967	-4,33943833944
0,042	-4,23199023199	-4,23199023199
0,0424	-4,13431013431	-4,11477411477
0,0428	-4,01709401709	-3,98290598291
0,0432	-3,89499389499	-3,84615384615
0,0436	-3,77777777778	-3,7094017094
0,044	-3,65567765568	-3,57264957265
0,0444	-3,53357753358	-3,4358974359
0,0448	-3,40659340659	-3,28937728938
0,0452	-3,27472527473	-3,15262515263
0,0456	-3,13797313797	-2,99633699634
0,046	-2,99145299145	-2,84493284493
0,0464	-2,84493284493	-2,68864468864
0,0468	-2,7032967033	-2,53235653236
0,0472	-2,55189255189	-2,37606837607
0,0476	-2,40048840049	-2,21001221001
0,048	-2,25396825397	-2,04884004884
0,0484	-2,0927960928	-1,88766788767
0,0488	-1,92673992674	-1,71672771673
0,0492	-1,77045177045	-1,5409035409
0,0496	-1,59462759463	-1,36996336996
0,05	-1,43345543346	-1,20390720391
0,0504	-1,26251526252	-1,02808302808
0,0508	-1,09157509158	-0,866910866911
0,0512	-0,930402930403	-0,686202686203
0,0516	-0,754578754579	-0,510378510379
0,052	-0,578754578755	-0,32967032967
0,0524	-0,407814407814	-0,153846153846
0,0528	-0,23199023199	0,01221001221
0,0532	-0,0610500610501	0,18315018315
0,0536	0,105006105006	0,339438339438
0,054	0,28083028083	0,520146520147
0,0544	0,456654456654	0,695970695971
0,0548	0,642246642247	0,876678876679
0,0552	0,813186813187	1,04761904762
0,0556	0,984126984127	1,20879120879
0,056	1,15995115995	1,37484737485
0,0564	1,32600732601	1,5409035409
0,0568	1,49206349206	1,70695970696
0,0572	1,67765567766	1,87301587302
0,0576	1,85347985348	2,03907203907
0,058	2,01953601954	2,20512820513
0,0584	2,18070818071	2,35164835165
0,0588	2,35164835165	2,51282051282
0,0592	2,50793650794	2,66910866911
0,0596	2,67887667888	2,81562881563
0,06	2,83516483516	2,97191697192
0,0604	3,00122100122	3,10866910867
0,0608	3,16239316239	3,26495726496
0,0612	3,31868131868	3,39682539683
0,0616	3,47008547009	3,53846153846
