Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 09:30:03 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	6,09768009768	5,85347985348
0,004	-4,61782661783	5,67277167277
0,008	-4,61782661783	5,28205128205
0,012	-4,61294261294	4,89621489621
0,016	-4,62271062271	4,5347985348
0,02	-4,62271062271	4,18315018315
0,024	-4,62759462759	3,84126984127
0,028	-4,62271062271	3,52869352869
0,032	-4,62759462759	3,21123321123
0,036	-4,62759462759	2,92307692308
0,04	-4,62759462759	2,62026862027
0,044	-4,64224664225	2,33211233211
0,048	-4,63736263736	2,07814407814
0,052	-4,64713064713	1,81929181929
0,056	-4,64224664225	1,57509157509
0,06	-4,64224664225	1,33089133089
0,064	-4,64224664225	1,115995116
0,068	-4,64224664225	0,891330891331
0,072	-4,64713064713	0,681318681319
0,076	-4,64713064713	0,481074481074
0,08	-4,65201465201	0,28083028083
0,084	-4,64713064713	0,100122100122
0,088	-4,65201465201	-0,0854700854701
0,092	-4,64713064713	-0,251526251526
0,096	-4,66178266178	-0,417582417582
0,1	-4,65201465201	-0,568986568987
0,104	-4,6568986569	-0,735042735043
0,108	-4,6568986569	-0,876678876679
0,112	-4,6568986569	-1,01831501832
0,116	-4,66178266178	-1,15995115995
0,12	-4,6568986569	-1,28693528694
0,124	-4,66666666667	-1,41391941392
0,128	-4,66178266178	-1,53113553114
0,132	-4,66178266178	-1,65323565324
0,136	-4,6568986569	-1,7557997558
0,14	-4,66178266178	-1,86813186813
0,144	-4,66178266178	-1,9706959707
0,148	-4,6568986569	-2,06837606838
0,152	-4,66666666667	-2,17094017094
0,156	-4,66178266178	-2,25396825397
0,16	-4,66666666667	-2,35164835165
0,164	-4,66666666667	-2,42490842491
0,168	-4,66666666667	-2,5177045177
0,172	-4,66178266178	-2,58608058608
0,176	-4,66666666667	-2,66422466422
0,18	-4,66178266178	-2,73748473748
0,184	-4,66178266178	-2,80586080586
0,188	-4,67155067155	-2,87912087912
0,192	-4,66666666667	-2,94261294261
0,196	-4,66666666667	-3,00610500611
0,2	-4,66178266178	-3,05982905983
0,204	-4,67643467643	-3,13308913309
0,208	-4,6568986569	-3,16727716728
0,212	-4,66666666667	-3,22588522589
0,216	-4,66666666667	-3,27472527473
0,22	-4,66666666667	-3,32844932845
0,224	-4,66666666667	-3,38217338217
0,228	-4,66666666667	-3,42124542125
0,232	-4,67155067155	-3,47496947497
0,236	-4,66666666667	-3,50427350427
0,24	-4,67643467643	-3,55311355311
0,244	-4,66666666667	-3,58241758242
0,248	-4,66666666667	-3,62637362637
0,252	-4,67155067155	-3,66056166056
0,256	-4,66666666667	-3,69474969475
0,26	-4,67643467643	-3,71916971917
0,264	-4,67155067155	-3,76312576313
0,268	-4,68131868132	-3,79731379731
0,272	-4,66666666667	-3,82173382173
0,276	-4,68131868132	-3,85592185592
0,28	-4,67643467643	-3,87545787546
0,284	-4,67643467643	-3,89987789988
0,288	-4,67155067155	-3,9242979243
0,292	-4,6568986569	-3,93406593407
0,296	-4,66666666667	-3,96825396825
0,3	-4,6568986569	-3,98778998779
0,304	-4,67155067155	-4,01221001221
0,308	-4,66178266178	-4,02197802198
0,312	-4,66178266178	-4,06105006105
0,316	-4,6568986569	-4,06593406593
0,32	-4,66666666667	-4,08547008547
0,324	-4,66666666667	-4,10500610501
0,328	-4,66666666667	-4,11477411477
0,332	-4,66666666667	-4,13919413919
0,336	-4,6568986569	-4,14896214896
0,34	-4,66666666667	-4,17338217338
0,344	-4,66178266178	-4,17338217338
0,348	-4,66666666667	-4,19291819292
0,352	-4,66178266178	-4,21245421245
0,356	-4,66178266178	-4,22222222222
0,36	-4,66666666667	-4,23687423687
0,364	-4,66178266178	-4,24664224664
0,368	-4,66666666667	-4,25641025641
0,372	-4,6568986569	-4,26617826618
0,376	-4,66666666667	-4,28083028083
0,38	-4,6568986569	-4,28571428571
0,384	-4,67155067155	-4,31013431013
0,388	-4,66178266178	-4,31013431013
0,392	-4,66178266178	-4,31501831502
0,396	-4,66666666667	-4,32967032967
0,4	-4,66666666667	-4,33455433455
0,404	-4,67155067155	-4,34432234432
0,408	-4,66178266178	-4,34920634921
0,412	-4,66178266178	-4,36385836386
0,416	-4,6568986569	-4,36385836386
0,42	-4,66666666667	-4,37362637363
0,424	-4,66178266178	-4,37362637363
0,428	-4,66178266178	-4,38827838828
0,432	-4,66666666667	-4,39316239316
0,436	-4,66178266178	-4,39316239316
0,44	-4,66666666667	-4,40293040293
0,444	-4,66178266178	-4,40781440781
0,448	-4,67155067155	-4,42246642247
0,452	-4,6568986569	-4,4126984127
0,456	-4,66178266178	-4,42246642247
0,46	-4,6568986569	-4,42735042735
0,464	-4,66178266178	-4,43223443223
0,468	-4,66666666667	-4,43711843712
0,472	-4,66178266178	-4,442002442
0,476	-4,67643467643	-4,45177045177
0,48	-4,66178266178	-4,44688644689
0,484	-4,66666666667	-4,46153846154
0,488	6,06349206349	-4,14407814408
0,492	6,06349206349	-3,75824175824
0,496	6,06349206349	-3,38217338217
0,5	6,05860805861	-3,02564102564
0,504	6,05860805861	-2,67887667888
0,508	6,06349206349	-2,34188034188
0,512	6,05860805861	-2,0293040293
0,516	6,06349206349	-1,71672771673
0,52	6,06837606838	-1,42857142857
0,524	6,06837606838	-1,13553113553
0,528	6,06349206349	-0,866910866911
0,532	6,06349206349	-0,608058608059
0,536	6,05372405372	-0,363858363858
0,54	6,04884004884	-0,124542124542
0,544	6,06349206349	0,10989010989
0,548	6,05372405372	0,324786324786
0,552	6,06837606838	0,549450549451
0,556	6,04884004884	0,749694749695
0,56	6,05860805861	0,954822954823
0,564	6,05860805861	1,15018315018
0,568	6,05860805861	1,33577533578
0,572	6,06837606838	1,50671550672
0,576	6,06349206349	1,67765567766
0,58	6,06349206349	1,8485958486
0,584	6,06837606838	1,99511599512
0,588	6,06837606838	2,1514041514
0,592	6,06349206349	2,28815628816
0,596	6,07814407814	2,45421245421
0,6	6,06349206349	2,57142857143
0,604	6,07326007326	2,69841269841
0,608	6,06837606838	2,8253968254
0,612	6,07326007326	2,94261294261
0,616	6,07814407814	3,06471306471
0,62	6,06349206349	3,16727716728
0,624	6,07814407814	3,26984126984
0,628	6,06837606838	3,37240537241
0,632	6,07326007326	3,47496947497
0,636	6,07326007326	3,57264957265
