Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 10:56:16 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	-3,69963369963	-2,98168498168
0,0002	-3,64102564103	-2,83516483516
0,0004	-3,49938949939	-2,62515262515
0,0006	-3,28937728938	-2,38583638584
0,0008	-3,01098901099	-2,08791208791
0,001	-2,67887667888	-1,76068376068
0,0012	-2,28327228327	-1,41391941392
0,0014	-1,8485958486	-1,03296703297
0,0016	-1,37484737485	-0,637362637363
0,0018	-0,857142857143	-0,227106227106
0,002	-0,32967032967	0,173382173382
0,0022	0,217338217338	0,578754578755
0,0024	0,759462759463	0,974358974359
0,0026	1,31135531136	1,34554334554
0,0028	1,83882783883	1,70207570208
0,003	2,336996337	2,01465201465
0,0032	2,8253968254	2,31746031746
0,0034	3,25518925519	2,56166056166
0,0036	3,66056166056	2,78144078144
0,0038	4,00244200244	2,94261294261
0,004	4,28571428571	3,05494505495
0,0042	4,50061050061	3,10866910867
0,0044	4,64224664225	3,10378510379
0,0046	4,73015873016	3,05982905983
0,0048	4,71550671551	2,9474969475
0,005	4,65201465201	2,79609279609
0,0052	4,50549450549	2,58608058608
0,0054	4,2905982906	2,336996337
0,0056	4,01709401709	2,04395604396
0,0058	3,67521367521	1,71184371184
0,006	3,29426129426	1,37973137973
0,0062	2,85958485958	0,998778998779
0,0064	2,40048840049	0,622710622711
0,0066	1,90231990232	0,217338217338
0,0068	1,3894993895	-0,178266178266
0,007	0,847374847375	-0,578754578755
0,0072	0,310134310134	-0,964590964591
0,0074	-0,23199023199	-1,34065934066
0,0076	-0,769230769231	-1,69230769231
0,0078	-1,26251526252	-2,00976800977
0,008	-1,74603174603	-2,31257631258
0,0082	-2,18559218559	-2,56654456654
0,0084	-2,59096459096	-2,78632478632
0,0086	-2,93772893773	-2,9474969475
0,0088	-3,221001221	-3,06471306471
0,009	-3,45543345543	-3,13308913309
0,0092	-3,60195360195	-3,13797313797
0,0094	-3,69963369963	-3,10378510379
0,0096	-3,70451770452	-3,00122100122
0,0098	-3,65567765568	-2,84981684982
0,01	-3,51892551893	-2,65445665446
0,0102	-3,30891330891	-2,41025641026
0,0104	-3,04517704518	-2,12698412698
0,0106	-2,70818070818	-1,79975579976
0,0108	-2,336996337	-1,45299145299
0,011	-1,89743589744	-1,07203907204
0,0112	-1,42857142857	-0,686202686203
0,0114	-0,915750915751	-0,271062271062
0,0116	-0,388278388278	0,13431013431
0,0118	0,153846153846	0,534798534799
0,012	0,705738705739	0,935286935287
0,0122	1,24297924298	1,2967032967
0,0124	1,78021978022	1,663003663
0,0126	2,28815628816	1,99023199023
0,0128	2,77167277167	2,28815628816
0,013	3,21123321123	2,54212454212
0,0132	3,62148962149	2,7619047619
0,0134	3,97313797314	2,92307692308
0,0136	4,25641025641	3,03540903541
0,0138	4,48595848596	3,10866910867
0,014	4,62759462759	3,10866910867
0,0142	4,72039072039	3,0695970696
0,0144	4,72039072039	2,96214896215
0,0146	4,66178266178	2,81562881563
0,0148	4,52991452991	2,61538461538
0,015	4,30525030525	2,36141636142
0,0152	4,0463980464	2,08302808303
0,0154	3,71428571429	1,75091575092
0,0156	3,3431013431	1,4188034188
0,0158	2,91330891331	1,04273504274
0,016	2,44932844933	0,656898656899
0,0162	1,95604395604	0,261294261294
0,0164	1,43833943834	-0,129426129426
0,0166	0,910866910867	-0,529914529915
0,0168	0,358974358974	-0,930402930403
0,017	-0,173382173382	-1,30158730159
0,0172	-0,710622710623	-1,65811965812
0,0174	-1,20879120879	-1,98046398046
0,0176	-1,69230769231	-2,28327228327
0,0178	-2,14163614164	-2,55189255189
0,018	-2,53724053724	-2,75702075702
0,0182	-2,90354090354	-2,93772893773
0,0184	-3,20146520147	-3,05494505495
0,0186	-3,43101343101	-3,12820512821
0,0188	-3,59218559219	-3,13797313797
0,019	-3,68986568987	-3,10378510379
0,0192	-3,70451770452	-3,01587301587
0,0194	-3,66056166056	-2,87423687424
0,0196	-3,53846153846	-2,68864468864
0,0198	-3,33821733822	-2,42979242979
0,02	-3,08424908425	-2,15628815629
0,0202	-2,75213675214	-1,82905982906
0,0204	-2,37606837607	-1,48717948718
0,0206	-1,95115995116	-1,115995116
0,0208	-1,47252747253	-0,720390720391
0,021	-0,974358974359	-0,319902319902
0,0212	-0,446886446886	0,0854700854701
0,0214	0,0952380952381	0,490842490842
0,0216	0,647130647131	0,891330891331
0,0218	1,18437118437	1,26251526252
0,022	1,72161172161	1,62881562882
0,0222	2,22954822955	1,95604395604
0,0224	2,71794871795	2,25885225885
0,0226	3,16727716728	2,52258852259
0,0228	3,56776556777	2,73748473748
0,023	3,92918192918	2,91819291819
0,0232	4,23199023199	3,02564102564
0,0234	4,46153846154	3,0989010989
0,0236	4,61782661783	3,11355311355
0,0238	4,71062271062	3,07936507937
0,024	4,73015873016	2,98168498168
0,0242	4,66666666667	2,8253968254
0,0244	4,54456654457	2,6398046398
0,0246	4,33943833944	2,39072039072
0,0248	4,08058608059	2,11721611722
0,025	3,75824175824	1,78998778999
0,0252	3,38217338217	1,45787545788
0,0254	2,96703296703	1,08669108669
0,0256	2,50793650794	0,695970695971
0,0258	2,01465201465	0,30525030525
0,026	1,49206349206	-0,0952380952381
0,0262	0,964590964591	-0,490842490842
0,0264	0,422466422466	-0,881562881563
0,0266	-0,114774114774	-1,26251526252
0,0268	-0,647130647131	-1,61904761905
0,027	-1,16483516484	-1,94627594628
0,0272	-1,63858363858	-2,2442002442
0,0274	-2,09768009768	-2,5177045177
0,0276	-2,50305250305	-2,73748473748
0,0278	-2,86935286935	-2,91819291819
0,028	-3,16239316239	-3,04029304029
0,0282	-3,40659340659	-3,11843711844
0,0284	-3,57264957265	-3,14285714286
0,0286	-3,67521367521	-3,10866910867
0,0288	-3,71916971917	-3,03540903541
0,029	-3,66056166056	-2,88888888889
0,0292	-3,557997558	-2,70818070818
0,0294	-3,36263736264	-2,46886446886
0,0296	-3,10866910867	-2,19047619048
0,0298	-2,79120879121	-1,87301587302
0,03	-2,41514041514	-1,53113553114
0,0302	-2	-1,16971916972
0,0304	-1,53113553114	-0,759462759463
0,0306	-1,03296703297	-0,368742368742
0,0308	-0,500610500611	0,046398046398
0,031	0,026862026862	0,442002442002
0,0312	0,578754578755	0,847374847375
