Channel              :		CH1
Frequency            :		1.053kHz
Period               :		0.949ms
PK-PK                :		82.03mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		-21.484375
2		-21.484375
3		-17.578125
4		-21.484375
5		-17.578125
6		-21.484375
7		-19.531250
8		-23.437500
9		-19.531250
10		-23.437500
11		-19.531250
12		-27.343750
13		-19.531250
14		-27.343750
15		-19.531250
16		-27.343750
17		-23.437500
18		-27.343750
19		-23.437500
20		-29.296875
21		-23.437500
22		-29.296875
23		-25.390625
24		-29.296875
25		-27.343750
26		-31.250000
27		-25.390625
28		-33.203125
29		-25.390625
30		-33.203125
31		-25.390625
32		-35.156250
33		-27.343750
34		-33.203125
35		-29.296875
36		-33.203125
37		-29.296875
38		-35.156250
39		-31.250000
40		-33.203125
41		-31.250000
42		-35.156250
43		-33.203125
44		-35.156250
45		-33.203125
46		-39.062500
47		-31.250000
48		-39.062500
49		-31.250000
50		-37.109375
51		-33.203125
52		-37.109375
53		-35.156250
54		-39.062500
55		-35.156250
56		-37.109375
57		-35.156250
58		-39.062500
59		-37.109375
60		-39.062500
61		-35.156250
62		-42.968750
63		-35.156250
64		-42.968750
65		-33.203125
66		-41.015625
67		-35.156250
68		-41.015625
69		-37.109375
70		-41.015625
71		-37.109375
72		-41.015625
73		-37.109375
74		-41.015625
75		-39.062500
76		-41.015625
77		-37.109375
78		-42.968750
79		-37.109375
80		-44.921875
81		-35.156250
82		-42.968750
83		-35.156250
84		-41.015625
85		-37.109375
86		-41.015625
87		-39.062500
88		-41.015625
89		-39.062500
90		-41.015625
91		-39.062500
92		-41.015625
93		-39.062500
94		-42.968750
95		-37.109375
96		-42.968750
97		-35.156250
98		-42.968750
99		-35.156250
100		-41.015625
101		-37.109375
102		-41.015625
103		-37.109375
104		-41.015625
105		-35.156250
106		-41.015625
107		-35.156250
108		-39.062500
109		-37.109375
110		-41.015625
111		-35.156250
112		-41.015625
113		-33.203125
114		-41.015625
115		-33.203125
116		-41.015625
117		-33.203125
118		-37.109375
119		-35.156250
120		-37.109375
121		-33.203125
122		-39.062500
123		-33.203125
124		-35.156250
125		-33.203125
126		-35.156250
127		-33.203125
128		-35.156250
129		-31.250000
130		-37.109375
131		-29.296875
132		-37.109375
133		-29.296875
134		-33.203125
135		-31.250000
136		-33.203125
137		-29.296875
138		-31.250000
139		-27.343750
140		-31.250000
141		-29.296875
142		-31.250000
143		-29.296875
144		-31.250000
145		-27.343750
146		-33.203125
147		-25.390625
148		-31.250000
149		-23.437500
150		-29.296875
151		-25.390625
152		-27.343750
153		-23.437500
154		-27.343750
155		-23.437500
156		-27.343750
157		-23.437500
158		-25.390625
159		-23.437500
160		-23.437500
161		-21.484375
162		-25.390625
163		-19.531250
164		-25.390625
165		-17.578125
166		-25.390625
167		-17.578125
168		-21.484375
169		-17.578125
170		-21.484375
171		-17.578125
172		-19.531250
173		-15.625000
174		-19.531250
175		-15.625000
176		-17.578125
177		-15.625000
178		-17.578125
179		-13.671875
180		-17.578125
181		-9.765625
182		-17.578125
183		-9.765625
184		-15.625000
185		-9.765625
186		-13.671875
187		-9.765625
188		-11.718750
189		-7.812500
190		-11.718750
191		-7.812500
192		-9.765625
193		-7.812500
194		-9.765625
195		-5.859375
196		-9.765625
197		-3.906250
198		-11.718750
199		-1.953125
200		-9.765625
201		-1.953125
202		-5.859375
203		-1.953125
204		-3.906250
205		-1.953125
206		-3.906250
207		0.000000
208		-1.953125
209		0.000000
210		-1.953125
211		0.000000
212		-1.953125
213		1.953125
214		-1.953125
215		5.859375
216		-1.953125
217		5.859375
218		1.953125
219		5.859375
220		1.953125
221		5.859375
222		3.906250
223		5.859375
224		3.906250
225		7.812500
226		5.859375
227		7.812500
228		3.906250
229		9.765625
230		3.906250
231		13.671875
232		3.906250
233		13.671875
234		5.859375
235		13.671875
236		9.765625
237		13.671875
238		9.765625
239		13.671875
240		9.765625
241		13.671875
242		11.718750
243		13.671875
244		11.718750
245		17.578125
246		11.718750
247		19.531250
248		11.718750
249		19.531250
250		11.718750
251		21.484375
252		15.625000
253		19.531250
254		15.625000
255		19.531250
256		17.578125
257		21.484375
258		17.578125
259		21.484375
260		19.531250
261		21.484375
262		19.531250
263		23.437500
264		17.578125
265		25.390625
266		17.578125
267		25.390625
268		19.531250
269		25.390625
270		21.484375
271		25.390625
272		21.484375
273		25.390625
274		23.437500
275		27.343750
276		23.437500
277		25.390625
278		23.437500
279		27.343750
280		21.484375
281		29.296875
282		21.484375
283		31.250000
284		23.437500
285		31.250000
286		25.390625
287		29.296875
288		27.343750
289		29.296875
290		25.390625
291		31.250000
292		27.343750
293		29.296875
294		27.343750
295		31.250000
296		27.343750
297		31.250000
298		25.390625
299		33.203125
300		25.390625
301		33.203125
302		29.296875
303		33.203125
304		29.296875
305		33.203125
306		29.296875
307		33.203125
308		27.343750
309		33.203125
310		29.296875
311		33.203125
312		29.296875
313		33.203125
314		27.343750
315		35.156250
316		27.343750
317		35.156250
318		27.343750
319		35.156250
320		31.250000
321		33.203125
322		29.296875
323		33.203125
324		29.296875
325		35.156250
326		29.296875
327		33.203125
328		31.250000
329		33.203125
330		27.343750
331		35.156250
332		27.343750
333		37.109375
334		27.343750
335		35.156250
336		29.296875
337		33.203125
338		29.296875
339		33.203125
340		29.296875
341		33.203125
342		29.296875
343		31.250000
344		29.296875
345		31.250000
346		29.296875
347		33.203125
348		27.343750
