Channel              :		CH1
Frequency            :		1.989kHz
Period               :		0.503ms
PK-PK                :		154.3mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		48.828125
2		48.828125
3		54.687500
4		52.734375
5		56.640625
6		54.687500
7		58.593750
8		56.640625
9		60.546875
10		58.593750
11		64.453125
12		62.500000
13		66.406250
14		64.453125
15		68.359375
16		64.453125
17		70.312500
18		68.359375
19		70.312500
20		68.359375
21		72.265625
22		70.312500
23		74.218750
24		72.265625
25		76.171875
26		72.265625
27		76.171875
28		74.218750
29		78.125000
30		76.171875
31		78.125000
32		76.171875
33		80.078125
34		76.171875
35		80.078125
36		78.125000
37		80.078125
38		78.125000
39		80.078125
40		78.125000
41		80.078125
42		78.125000
43		80.078125
44		76.171875
45		80.078125
46		76.171875
47		80.078125
48		76.171875
49		80.078125
50		74.218750
51		80.078125
52		74.218750
53		78.125000
54		72.265625
55		76.171875
56		72.265625
57		76.171875
58		70.312500
59		74.218750
60		68.359375
61		74.218750
62		68.359375
63		70.312500
64		64.453125
65		70.312500
66		62.500000
67		68.359375
68		62.500000
69		64.453125
70		58.593750
71		62.500000
72		56.640625
73		62.500000
74		54.687500
75		58.593750
76		50.781250
77		56.640625
78		48.828125
79		52.734375
80		46.875000
81		50.781250
82		42.968750
83		46.875000
84		39.062500
85		44.921875
86		37.109375
87		41.015625
88		33.203125
89		39.062500
90		29.296875
91		35.156250
92		25.390625
93		31.250000
94		23.437500
95		29.296875
96		19.531250
97		25.390625
98		15.625000
99		21.484375
100		11.718750
101		17.578125
102		7.812500
103		13.671875
104		5.859375
105		9.765625
106		1.953125
107		7.812500
108		-1.953125
109		3.906250
110		-5.859375
111		0.000000
112		-9.765625
113		-3.906250
114		-13.671875
115		-7.812500
116		-17.578125
117		-9.765625
118		-19.531250
119		-13.671875
120		-23.437500
121		-19.531250
122		-27.343750
123		-21.484375
124		-31.250000
125		-25.390625
126		-33.203125
127		-27.343750
128		-37.109375
129		-31.250000
130		-39.062500
131		-35.156250
132		-42.968750
133		-37.109375
134		-44.921875
135		-41.015625
136		-46.875000
137		-42.968750
138		-50.781250
139		-46.875000
140		-52.734375
141		-46.875000
142		-54.687500
143		-50.781250
144		-56.640625
145		-52.734375
146		-58.593750
147		-54.687500
148		-60.546875
149		-54.687500
150		-60.546875
151		-56.640625
152		-62.500000
153		-58.593750
154		-64.453125
155		-60.546875
156		-64.453125
157		-60.546875
158		-66.406250
159		-62.500000
160		-66.406250
161		-62.500000
162		-66.406250
163		-62.500000
164		-66.406250
165		-62.500000
166		-66.406250
167		-64.453125
168		-68.359375
169		-62.500000
170		-66.406250
171		-62.500000
172		-64.453125
173		-62.500000
174		-66.406250
175		-62.500000
176		-64.453125
177		-60.546875
178		-62.500000
179		-60.546875
180		-62.500000
181		-58.593750
182		-60.546875
183		-56.640625
184		-58.593750
185		-54.687500
186		-56.640625
187		-52.734375
188		-54.687500
189		-50.781250
190		-52.734375
191		-48.828125
192		-50.781250
193		-46.875000
194		-48.828125
195		-42.968750
196		-44.921875
197		-41.015625
198		-42.968750
199		-39.062500
200		-41.015625
201		-35.156250
202		-37.109375
203		-33.203125
204		-35.156250
205		-29.296875
206		-31.250000
207		-25.390625
208		-27.343750
209		-21.484375
210		-25.390625
211		-19.531250
212		-21.484375
213		-15.625000
214		-17.578125
215		-11.718750
216		-13.671875
217		-7.812500
218		-9.765625
219		-5.859375
220		-7.812500
221		-1.953125
222		-3.906250
223		1.953125
224		0.000000
225		5.859375
226		3.906250
227		9.765625
228		7.812500
229		13.671875
230		11.718750
231		15.625000
232		13.671875
233		19.531250
234		17.578125
235		23.437500
236		21.484375
237		27.343750
238		25.390625
239		31.250000
240		29.296875
241		35.156250
242		31.250000
243		37.109375
244		35.156250
245		41.015625
246		39.062500
247		42.968750
248		41.015625
249		46.875000
250		44.921875
251		48.828125
252		46.875000
253		52.734375
254		50.781250
255		54.687500
256		52.734375
257		58.593750
258		54.687500
259		60.546875
260		58.593750
261		62.500000
262		60.546875
263		64.453125
264		62.500000
265		66.406250
266		64.453125
267		68.359375
268		66.406250
269		70.312500
270		68.359375
271		72.265625
272		70.312500
273		72.265625
274		70.312500
275		74.218750
276		72.265625
277		76.171875
278		74.218750
279		76.171875
280		74.218750
281		78.125000
282		76.171875
283		78.125000
284		76.171875
285		80.078125
286		76.171875
287		80.078125
288		78.125000
289		80.078125
290		76.171875
291		82.031250
292		76.171875
293		80.078125
294		78.125000
295		80.078125
296		76.171875
297		80.078125
298		76.171875
299		80.078125
300		76.171875
301		80.078125
302		76.171875
303		78.125000
304		74.218750
305		78.125000
306		72.265625
307		76.171875
308		72.265625
309		74.218750
310		70.312500
311		74.218750
312		68.359375
313		72.265625
314		66.406250
315		70.312500
316		64.453125
317		68.359375
318		62.500000
319		66.406250
320		60.546875
321		64.453125
322		58.593750
323		62.500000
324		54.687500
325		60.546875
326		52.734375
327		58.593750
328		50.781250
329		54.687500
330		46.875000
331		52.734375
332		44.921875
333		50.781250
334		41.015625
335		46.875000
336		39.062500
337		44.921875
338		35.156250
339		41.015625
340		31.250000
341		37.109375
342		29.296875
343		35.156250
344		25.390625
345		31.250000
346		21.484375
347		27.343750
348		17.578125
349		23.437500
350		15.625000
351		19.531250
352		11.718750
353		17.578125
354		7.812500
355		13.671875
356		3.906250
357		9.765625
358		0.000000
359		5.859375
360		-3.906250
361		1.953125
362		-7.812500
363		-1.953125
364		-9.765625
365		-5.859375
366		-13.671875
367		-9.765625
368		-17.578125
369		-11.718750
370		-21.484375
371		-15.625000
372		-23.437500
373		-19.531250
374		-29.296875
375		-23.437500
376		-31.250000
377		-25.390625
378		-35.156250
379		-29.296875
380		-37.109375
381		-33.203125
382		-39.062500
383		-35.156250
384		-42.968750
385		-39.062500
386		-46.875000
387		-41.015625
388		-48.828125
389		-42.968750
390		-50.781250
391		-46.875000
392		-52.734375
393		-48.828125
394		-54.687500
395		-50.781250
396		-56.640625
397		-52.734375
398		-58.593750
399		-54.687500
400		-60.546875
401		-56.640625
402		-62.500000
403		-58.593750
404		-62.500000
405		-58.593750
406		-64.453125
407		-60.546875
408		-66.406250
409		-60.546875
410		-66.406250
411		-62.500000
412		-66.406250
413		-62.500000
414		-66.406250
415		-64.453125
416		-66.406250
417		-62.500000
418		-66.406250
419		-62.500000
420		-66.406250
421		-62.500000
422		-66.406250
423		-62.500000
424		-66.406250
425		-62.500000
426		-64.453125
427		-62.500000
428		-64.453125
429		-60.546875
430		-62.500000
431		-58.593750
432		-60.546875
433		-56.640625
434		-58.593750
435		-56.640625
436		-58.593750
437		-54.687500
438		-56.640625
439		-52.734375
440		-54.687500
441		-48.828125
442		-52.734375
443		-46.875000
444		-48.828125
445		-44.921875
446		-46.875000
447		-42.968750
448		-44.921875
449		-39.062500
450		-41.015625
451		-37.109375
452		-39.062500
453		-33.203125
454		-37.109375
455		-31.250000
456		-33.203125
457		-27.343750
458		-29.296875
459		-25.390625
460		-27.343750
461		-21.484375
462		-23.437500
463		-17.578125
464		-19.531250
465		-13.671875
466		-15.625000
467		-9.765625
468		-13.671875
469		-7.812500
470		-9.765625
471		-3.906250
472		-5.859375
473		0.000000
