Channel              :		CH1
Frequency            :		682.1Hz
Period               :		1.466ms
PK-PK                :		132.8mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		54.687500
2		54.687500
3		50.781250
4		54.687500
5		50.781250
6		54.687500
7		50.781250
8		54.687500
9		52.734375
10		56.640625
11		52.734375
12		56.640625
13		52.734375
14		56.640625
15		52.734375
16		56.640625
17		52.734375
18		56.640625
19		54.687500
20		56.640625
21		52.734375
22		58.593750
23		52.734375
24		56.640625
25		54.687500
26		58.593750
27		54.687500
28		58.593750
29		54.687500
30		58.593750
31		54.687500
32		58.593750
33		54.687500
34		58.593750
35		54.687500
36		58.593750
37		54.687500
38		58.593750
39		54.687500
40		58.593750
41		54.687500
42		58.593750
43		54.687500
44		58.593750
45		56.640625
46		58.593750
47		54.687500
48		60.546875
49		54.687500
50		58.593750
51		54.687500
52		58.593750
53		54.687500
54		58.593750
55		56.640625
56		58.593750
57		54.687500
58		58.593750
59		54.687500
60		58.593750
61		54.687500
62		58.593750
63		54.687500
64		58.593750
65		54.687500
66		58.593750
67		54.687500
68		58.593750
69		54.687500
70		58.593750
71		54.687500
72		56.640625
73		54.687500
74		58.593750
75		52.734375
76		56.640625
77		52.734375
78		56.640625
79		52.734375
80		56.640625
81		52.734375
82		56.640625
83		52.734375
84		56.640625
85		52.734375
86		56.640625
87		52.734375
88		56.640625
89		50.781250
90		56.640625
91		50.781250
92		54.687500
93		50.781250
94		54.687500
95		50.781250
96		54.687500
97		50.781250
98		54.687500
99		50.781250
100		54.687500
101		48.828125
102		54.687500
103		48.828125
104		52.734375
105		48.828125
106		52.734375
107		46.875000
108		52.734375
109		46.875000
110		50.781250
111		46.875000
112		50.781250
113		46.875000
114		50.781250
115		46.875000
116		50.781250
117		44.921875
118		50.781250
119		44.921875
120		48.828125
121		44.921875
122		48.828125
123		44.921875
124		48.828125
125		42.968750
126		46.875000
127		42.968750
128		46.875000
129		41.015625
130		46.875000
131		41.015625
132		44.921875
133		41.015625
134		44.921875
135		39.062500
136		44.921875
137		39.062500
138		42.968750
139		39.062500
140		42.968750
141		39.062500
142		41.015625
143		37.109375
144		41.015625
145		37.109375
146		41.015625
147		35.156250
148		39.062500
149		35.156250
150		39.062500
151		33.203125
152		39.062500
153		35.156250
154		37.109375
155		33.203125
156		37.109375
157		31.250000
158		37.109375
159		31.250000
160		35.156250
161		31.250000
162		35.156250
163		31.250000
164		33.203125
165		29.296875
166		33.203125
167		27.343750
168		33.203125
169		27.343750
170		31.250000
171		27.343750
172		29.296875
173		25.390625
174		29.296875
175		25.390625
176		29.296875
177		23.437500
178		27.343750
179		23.437500
180		27.343750
181		21.484375
182		25.390625
183		21.484375
184		25.390625
185		19.531250
186		23.437500
187		19.531250
188		23.437500
189		19.531250
190		21.484375
191		17.578125
192		23.437500
193		17.578125
194		21.484375
195		15.625000
196		19.531250
197		15.625000
198		17.578125
199		13.671875
200		17.578125
201		13.671875
202		17.578125
203		11.718750
204		15.625000
205		9.765625
206		15.625000
207		9.765625
208		13.671875
209		7.812500
210		11.718750
211		7.812500
212		11.718750
213		5.859375
214		11.718750
215		5.859375
216		9.765625
217		5.859375
218		9.765625
219		3.906250
220		7.812500
221		3.906250
222		5.859375
223		1.953125
224		5.859375
225		1.953125
226		3.906250
227		0.000000
228		3.906250
229		-1.953125
230		3.906250
231		-1.953125
232		1.953125
233		-3.906250
234		0.000000
235		-3.906250
236		0.000000
237		-5.859375
238		-1.953125
239		-7.812500
240		-3.906250
241		-7.812500
242		-3.906250
243		-7.812500
244		-5.859375
245		-9.765625
246		-5.859375
247		-9.765625
248		-7.812500
249		-11.718750
250		-7.812500
251		-13.671875
252		-7.812500
253		-13.671875
254		-9.765625
255		-15.625000
256		-11.718750
257		-17.578125
258		-11.718750
259		-15.625000
260		-11.718750
261		-17.578125
262		-13.671875
263		-19.531250
264		-13.671875
265		-19.531250
266		-15.625000
267		-21.484375
268		-17.578125
269		-21.484375
270		-17.578125
271		-23.437500
272		-19.531250
273		-25.390625
274		-19.531250
275		-23.437500
276		-21.484375
277		-25.390625
278		-21.484375
279		-27.343750
280		-23.437500
281		-27.343750
282		-23.437500
283		-29.296875
284		-25.390625
285		-29.296875
286		-25.390625
287		-29.296875
288		-25.390625
289		-31.250000
290		-27.343750
291		-33.203125
292		-27.343750
293		-33.203125
294		-29.296875
295		-35.156250
296		-29.296875
297		-35.156250
298		-31.250000
299		-35.156250
300		-33.203125
301		-37.109375
302		-33.203125
303		-37.109375
304		-33.203125
305		-39.062500
306		-35.156250
307		-41.015625
308		-35.156250
309		-39.062500
310		-37.109375
311		-41.015625
312		-37.109375
313		-42.968750
314		-37.109375
315		-42.968750
316		-39.062500
317		-42.968750
318		-39.062500
319		-44.921875
320		-41.015625
321		-44.921875
322		-41.015625
323		-44.921875
324		-42.968750
325		-46.875000
326		-42.968750
327		-46.875000
328		-42.968750
329		-46.875000
330		-44.921875
331		-48.828125
332		-44.921875
333		-48.828125
334		-44.921875
335		-48.828125
336		-44.921875
337		-50.781250
338		-46.875000
339		-50.781250
340		-48.828125
341		-52.734375
342		-48.828125
343		-52.734375
344		-48.828125
345		-52.734375
346		-48.828125
347		-54.687500
348		-50.781250
349		-54.687500
350		-50.781250
351		-54.687500
352		-50.781250
353		-56.640625
354		-50.781250
355		-54.687500
356		-52.734375
357		-54.687500
358		-52.734375
359		-56.640625
360		-52.734375
361		-56.640625
362		-52.734375
363		-58.593750
364		-54.687500
365		-58.593750
366		-54.687500
367		-58.593750
368		-54.687500
369		-58.593750
370		-54.687500
371		-58.593750
372		-54.687500
373		-58.593750
374		-56.640625
375		-60.546875
376		-56.640625
377		-60.546875
378		-56.640625
379		-60.546875
380		-56.640625
381		-60.546875
382		-56.640625
383		-62.500000
384		-58.593750
385		-62.500000
386		-58.593750
387		-62.500000
388		-58.593750
389		-62.500000
390		-58.593750
391		-62.500000
392		-58.593750
393		-62.500000
394		-58.593750
395		-64.453125
396		-58.593750
397		-62.500000
398		-58.593750
399		-62.500000
400		-58.593750
401		-64.453125
402		-58.593750
403		-64.453125
404		-58.593750
405		-62.500000
406		-60.546875
407		-62.500000
408		-58.593750
409		-64.453125
410		-60.546875
411		-64.453125
412		-60.546875
413		-64.453125
414		-58.593750
415		-62.500000
416		-60.546875
417		-64.453125
418		-60.546875
419		-64.453125
420		-60.546875
421		-64.453125
422		-60.546875
423		-62.500000
424		-60.546875
425		-64.453125
426		-60.546875
427		-62.500000
428		-60.546875
429		-62.500000
430		-60.546875
431		-62.500000
432		-58.593750
433		-62.500000
