Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 09:47:03 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	-3,94383394383	-4,33943833944
0,002	-4,03174603175	-4,34920634921
0,004	-4,10012210012	-4,34432234432
0,006	-4,18315018315	-4,34432234432
0,008	-4,26617826618	-4,33455433455
0,01	-4,32967032967	-4,3199023199
0,012	-4,39316239316	-4,29548229548
0,014	-4,47619047619	-4,2905982906
0,016	-4,5347985348	-4,26617826618
0,018	-4,59829059829	-4,24175824176
0,02	-4,67155067155	-4,22710622711
0,022	-4,72039072039	-4,1978021978
0,024	-4,76923076923	-4,16361416361
0,026	-4,82783882784	-4,13919413919
0,028	-4,88156288156	-4,10500610501
0,03	-4,92063492063	-4,07081807082
0,032	-4,96459096459	-4,03174603175
0,034	-5,01343101343	-4,00244200244
0,036	-5,04273504274	-3,9536019536
0,038	-5,07692307692	-3,90964590965
0,04	-5,115995116	-3,88034188034
0,042	-5,14041514042	-3,82173382173
0,044	-5,16483516484	-3,77289377289
0,046	-5,19413919414	-3,72893772894
0,048	-5,21367521368	-3,67032967033
0,05	-5,22344322344	-3,61172161172
0,052	-5,24297924298	-3,56288156288
0,054	-5,26251526252	-3,50915750916
0,056	-5,26251526252	-3,4358974359
0,058	-5,27228327228	-3,39194139194
0,06	-5,28693528694	-3,33333333333
0,062	-5,27716727717	-3,26495726496
0,064	-5,2673992674	-3,18681318681
0,066	-5,2673992674	-3,12332112332
0,068	-5,25763125763	-3,05006105006
0,07	-5,24297924298	-2,9768009768
0,072	-5,22344322344	-2,91330891331
0,074	-5,21367521368	-2,84493284493
0,076	-5,18925518926	-2,75213675214
0,078	-5,16483516484	-2,67887667888
0,08	-5,14041514042	-2,60561660562
0,082	-5,10622710623	-2,5177045177
0,084	-5,07692307692	-2,42979242979
0,086	-5,04273504274	-2,35653235653
0,088	-4,99877899878	-2,26862026862
0,09	-4,94993894994	-2,18070818071
0,092	-4,91575091575	-2,10256410256
0,094	-4,85714285714	-2,01953601954
0,096	-4,80341880342	-1,92185592186
0,098	-4,75457875458	-1,82417582418
0,1	-4,70573870574	-1,74603174603
0,102	-4,63736263736	-1,63858363858
0,104	-4,57387057387	-1,54578754579
0,106	-4,51526251526	-1,45299145299
0,108	-4,442002442	-1,35531135531
0,11	-4,36874236874	-1,25274725275
0,112	-4,30036630037	-1,16483516484
0,114	-4,22222222222	-1,06227106227
0,116	-4,13919413919	-0,959706959707
0,118	-4,05616605617	-0,866910866911
0,12	-3,98290598291	-0,778998778999
0,122	-3,88522588523	-0,661782661783
0,124	-3,79242979243	-0,564102564103
0,126	-3,71428571429	-0,461538461538
0,128	-3,60683760684	-0,358974358974
0,13	-3,50915750916	-0,251526251526
0,132	-3,42612942613	-0,163614163614
0,134	-3,31868131868	-0,0512820512821
0,136	-3,21611721612	0,0512820512821
0,138	-3,11355311355	0,144078144078
0,14	-3,00122100122	0,241758241758
0,142	-2,89377289377	0,35409035409
0,144	-2,79120879121	0,45177045177
0,146	-2,68376068376	0,554334554335
0,148	-2,55677655678	0,656898656899
0,15	-2,44444444444	0,759462759463
0,152	-2,33211233211	0,842490842491
0,154	-2,2148962149	0,949938949939
0,156	-2,08791208791	1,05738705739
0,158	-1,97557997558	1,15018315018
0,16	-1,85347985348	1,24786324786
0,162	-1,73137973138	1,34554334554
0,164	-1,60927960928	1,43345543346
0,166	-1,48717948718	1,52625152625
0,168	-1,35042735043	1,62881562882
0,17	-1,22344322344	1,72161172161
0,172	-1,10622710623	1,80463980464
0,174	-0,974358974359	1,9072039072
0,176	-0,842490842491	2
0,178	-0,720390720391	2,08302808303
0,18	-0,583638583639	2,17094017094
0,182	-0,446886446886	2,26373626374
0,184	-0,319902319902	2,336996337
0,186	-0,188034188034	2,41514041514
0,188	-0,0561660561661	2,51282051282
0,19	0,0708180708181	2,59096459096
0,192	0,192918192918	2,66422466422
0,194	0,32967032967	2,75213675214
0,196	0,466422466422	2,8253968254
0,198	0,593406593407	2,88888888889
0,2	0,730158730159	2,96214896215
0,202	0,866910866911	3,04517704518
0,204	0,989010989011	3,10378510379
0,206	1,12576312576	3,18681318681
0,208	1,25763125763	3,25030525031
0,21	1,38461538462	3,30402930403
0,212	1,51648351648	3,36263736264
0,214	1,64346764347	3,4358974359
0,216	1,77045177045	3,49938949939
0,218	1,89255189255	3,54822954823
0,22	2,0293040293	3,60195360195
0,222	2,15628815629	3,67521367521
0,224	2,28327228327	3,71916971917
0,226	2,40537240537	3,76312576313
0,228	2,53724053724	3,81684981685
0,23	2,65445665446	3,87057387057
0,232	2,77167277167	3,90964590965
0,234	2,90842490842	3,95848595849
0,236	3,02564102564	3,99755799756
0,238	3,13797313797	4,03663003663
0,24	3,25030525031	4,0757020757
0,242	3,37240537241	4,11477411477
0,244	3,48473748474	4,12942612943
0,246	3,59706959707	4,17338217338
0,248	3,71428571429	4,20268620269
0,25	3,82173382173	4,22710622711
0,252	3,92918192918	4,23687423687
0,254	4,03174603175	4,27106227106
0,256	4,14896214896	4,30036630037
0,258	4,23687423687	4,30036630037
0,26	4,35409035409	4,3199023199
0,262	4,442002442	4,34432234432
0,264	4,54456654457	4,34920634921
0,266	4,63736263736	4,34920634921
0,268	4,73992673993	4,35897435897
0,27	4,82295482295	4,36385836386
0,272	4,91086691087	4,36874236874
0,274	4,99389499389	4,37362637363
0,276	5,07692307692	4,37362637363
0,278	5,15506715507	4,35897435897
0,28	5,2380952381	4,35409035409
0,282	5,32112332112	4,34920634921
0,284	5,38461538462	4,32967032967
0,286	5,47252747253	4,31501831502
0,288	5,53601953602	4,31013431013
0,29	5,59951159951	4,28083028083
0,292	5,65811965812	4,26617826618
0,294	5,73626373626	4,24175824176
0,296	5,78998778999	4,21733821734
0,298	5,84371184371	4,18315018315
0,3	5,89255189255	4,16361416361
0,302	5,94627594628	4,13919413919
0,304	5,99023199023	4,09035409035
0,306	6,03418803419	4,06105006105
0,308	6,07326007326	4,02197802198
0,31	6,10744810745	3,97313797314
0,312	6,14652014652	3,9242979243
0,314	6,18070818071	3,88034188034
0,316	6,20512820513	3,8315018315
0,318	6,22954822955	3,78266178266
0,32	6,25885225885	3,72893772894
0,322	6,27838827839	3,68498168498
0,324	6,28815628816	3,61660561661
0,326	6,30280830281	3,56288156288
