Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 09:52:28 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	1,02808302808	0,139194139194
0,0004	0,168498168498	-0,739926739927
0,0008	-0,710622710623	-1,6043956044
0,0012	-1,56532356532	-2,44932844933
0,0016	-2,38095238095	-3,23565323565
0,002	-3,13308913309	-3,94871794872
0,0024	-3,78754578755	-4,55921855922
0,0028	-4,34432234432	-5,05738705739
0,0032	-4,76923076923	-5,43345543346
0,0036	-5,06715506716	-5,67277167277
0,004	-5,22832722833	-5,78021978022
0,0044	-5,26251526252	-5,75091575092
0,0048	-5,1452991453	-5,57509157509
0,0052	-4,89133089133	-5,25763125763
0,0056	-4,49572649573	-4,80341880342
0,006	-3,96825396825	-4,23199023199
0,0064	-3,32844932845	-3,55311355311
0,0068	-2,59584859585	-2,79120879121
0,0072	-1,79487179487	-1,96092796093
0,0076	-0,930402930403	-1,08669108669
0,008	-0,046398046398	-0,197802197802
0,0084	0,857142857143	0,700854700855
0,0088	1,74603174603	1,58485958486
0,0092	2,6105006105	2,42490842491
0,0096	3,41636141636	3,20634920635
0,01	4,16361416361	3,90964590965
0,0104	4,81807081807	4,52014652015
0,0108	5,38461538462	5,03785103785
0,0112	5,81440781441	5,41391941392
0,0116	6,11721611722	5,65323565324
0,012	6,28815628816	5,77045177045
0,0124	6,30769230769	5,71672771673
0,0128	6,17582417582	5,53113553114
0,0132	5,91697191697	5,21367521368
0,0136	5,50671550672	4,75946275946
0,014	4,98412698413	4,18315018315
0,0144	4,36385836386	3,53357753358
0,0148	3,65567765568	2,79609279609
0,0152	2,87912087912	1,98534798535
0,0156	2,04395604396	1,14041514042
0,016	1,16971916972	0,261294261294
0,0164	0,290598290598	-0,627594627595
0,0168	-0,598290598291	-1,50183150183
0,0172	-1,46275946276	-2,34188034188
0,0176	-2,28327228327	-3,13308913309
0,018	-3,03052503053	-3,84615384615
0,0184	-3,69963369963	-4,47619047619
0,0188	-4,27594627595	-4,99389499389
0,0192	-4,72039072039	-5,39926739927
0,0196	-5,04761904762	-5,663003663
0,02	-5,22344322344	-5,78021978022
0,0204	-5,27228327228	-5,7557997558
0,0208	-5,16483516484	-5,59462759463
0,0212	-4,9304029304	-5,30158730159
0,0216	-4,54456654457	-4,87179487179
0,022	-4,03663003663	-4,31013431013
0,0224	-3,41636141636	-3,64590964591
0,0228	-2,7032967033	-2,89865689866
0,0232	-1,89743589744	-2,06837606838
0,0236	-1,03785103785	-1,18925518926
0,024	-0,148962148962	-0,300366300366
0,0244	0,749694749695	0,603174603175
0,0248	1,6336996337	1,46764346764
0,0252	2,49816849817	2,31746031746
0,0256	3,3137973138	3,10378510379
0,026	4,07081807082	3,82173382173
0,0264	4,74481074481	4,45665445665
0,0268	5,31623931624	4,98412698413
0,0272	5,77045177045	5,37484737485
0,0276	6,09768009768	5,63858363858
0,028	6,26862026862	5,74603174603
0,0284	6,30769230769	5,7264957265
0,0288	6,19047619048	5,55555555556
0,0292	5,95604395604	5,25763125763
0,0296	5,57509157509	4,82783882784
0,03	5,06715506716	4,27106227106
0,0304	4,44688644689	3,61660561661
0,0308	3,74847374847	2,87912087912
0,0312	2,9768009768	2,08791208791
0,0316	2,14163614164	1,24297924298
0,032	1,27716727717	0,368742368742
0,0324	0,40293040293	-0,510378510379
0,0328	-0,481074481074	-1,3894993895
0,0332	-1,35042735043	-2,23443223443
0,0336	-2,18070818071	-3,04517704518
0,034	-2,95238095238	-3,77289377289
0,0344	-3,63125763126	-4,40781440781
0,0348	-4,20757020757	-4,94505494505
0,0352	-4,66666666667	-5,35042735043
0,0356	-5,00854700855	-5,62393162393
0,036	-5,20390720391	-5,76068376068
0,0364	-5,27716727717	-5,77045177045
0,0368	-5,19413919414	-5,6336996337
0,0372	-4,96947496947	-5,35042735043
0,0376	-4,60805860806	-4,93528693529
0,038	-4,10012210012	-4,39316239316
0,0384	-3,49938949939	-3,73382173382
0,0388	-2,78632478632	-2,99145299145
0,0392	-1,99511599512	-2,17582417582
0,0396	-1,15995115995	-1,31135531136
0,04	-0,266178266178	-0,417582417582
0,0404	0,622710622711	0,47619047619
0,0408	1,51648351648	1,3601953602
0,0412	2,39072039072	2,2148962149
0,0416	3,221001221	3,01098901099
0,042	3,98778998779	3,74847374847
0,0424	4,65201465201	4,37362637363
0,0428	5,24786324786	4,91086691087
0,0432	5,71672771673	5,33089133089
0,0436	6,05860805861	5,61416361416
0,044	6,25396825397	5,75091575092
0,0444	6,32234432234	5,74603174603
0,0448	6,2148962149	5,59462759463
0,0452	6	5,2967032967
0,0456	5,61904761905	4,88156288156
0,046	5,13553113553	4,34432234432
0,0464	4,5347985348	3,70451770452
0,0468	3,84615384615	2,98168498168
0,0472	3,08424908425	2,20024420024
0,0476	2,25396825397	1,35042735043
0,048	1,3894993895	0,47619047619
0,0484	0,500610500611	-0,40293040293
0,0488	-0,37851037851	-1,28693528694
0,0492	-1,24786324786	-2,13186813187
0,0496	-2,07326007326	-2,93284493284
0,05	-2,84981684982	-3,67032967033
0,0504	-3,54334554335	-4,32967032967
0,0508	-4,13919413919	-4,88156288156
0,0512	-4,62271062271	-5,31135531136
0,0516	-4,97435897436	-5,6043956044
0,052	-5,19413919414	-5,7557997558
0,0524	-5,27228327228	-5,77533577534
0,0528	-5,19902319902	-5,65323565324
0,0532	-4,99877899878	-5,3894993895
0,0536	-4,6568986569	-4,98901098901
0,054	-4,18315018315	-4,46642246642
0,0544	-3,59218559219	-3,8315018315
0,0548	-2,88888888889	-3,08913308913
0,0552	-2,10256410256	-2,2735042735
0,0556	-1,25763125763	-1,41391941392
0,056	-0,37851037851	-0,525030525031
0,0564	0,515262515263	0,363858363858
0,0568	1,40903540904	1,24786324786
0,0572	2,2735042735	2,10256410256
0,0576	3,10866910867	2,91330891331
0,058	3,88522588523	3,64590964591
0,0584	4,58363858364	4,31013431013
0,0588	5,17948717949	4,85225885226
0,0592	5,66788766789	5,28693528694
0,0596	6,02442002442	5,58485958486
0,06	6,23443223443	5,73626373626
0,0604	6,31746031746	5,75091575092
0,0608	6,2442002442	5,61904761905
0,0612	6,02442002442	5,3601953602
0,0616	5,68253968254	4,94505494505
0,062	5,20390720391	4,41758241758
0,0624	4,61294261294	3,79242979243
0,0628	3,93894993895	3,08424908425
