Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 09:29:06 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	-4,72527472527	-4,33455433455
0,004	-4,72527472527	-4,35409035409
0,008	-4,73015873016	-4,36874236874
0,012	-4,72039072039	-4,37362637363
0,016	-4,71550671551	-4,36385836386
0,02	-4,71062271062	-4,37851037851
0,024	-4,71550671551	-4,38827838828
0,028	-4,72527472527	-4,40781440781
0,032	-4,72527472527	-4,42735042735
0,036	-4,72527472527	-4,42735042735
0,04	-4,71550671551	-4,42735042735
0,044	-4,71062271062	-4,42735042735
0,048	-4,72039072039	-4,442002442
0,052	-4,72527472527	-4,45665445665
0,056	-4,72527472527	-4,46642246642
0,06	-4,72527472527	-4,46642246642
0,064	-4,71550671551	-4,46642246642
0,068	-4,71062271062	-4,46642246642
0,072	-4,72039072039	-4,48107448107
0,076	-4,72039072039	-4,49084249084
0,08	-4,73504273504	-4,50549450549
0,084	-4,72527472527	-4,50061050061
0,088	-4,71550671551	-4,50549450549
0,092	-4,71062271062	-4,49572649573
0,096	-4,72039072039	-4,51037851038
0,1	-4,72527472527	-4,50549450549
0,104	-4,72527472527	-4,52991452991
0,108	-4,72039072039	-4,52014652015
0,112	-4,73015873016	-4,5347985348
0,116	-4,71062271062	-4,52503052503
0,12	-4,71550671551	-4,52503052503
0,124	-4,71550671551	-4,52991452991
0,128	-4,72527472527	-4,54456654457
0,132	-4,73015873016	-4,54945054945
0,136	-4,72527472527	-4,55433455433
0,14	-4,71062271062	-4,53968253968
0,144	-4,71062271062	-4,54456654457
0,148	-4,71550671551	-4,54945054945
0,152	-4,72527472527	-4,56898656899
0,156	-4,73015873016	-4,56898656899
0,16	-4,72039072039	-4,56898656899
0,164	-4,71550671551	-4,55921855922
0,168	-4,71062271062	-4,55921855922
0,172	-4,71550671551	-4,5641025641
0,176	-4,72039072039	-4,57387057387
0,18	-4,73015873016	-4,58363858364
0,184	-4,72039072039	-4,57875457875
0,188	-4,71550671551	-4,58852258852
0,192	-4,71062271062	-4,57387057387
0,196	-4,72039072039	-4,57875457875
0,2	-4,71062271062	-4,57387057387
0,204	-4,73504273504	-4,59829059829
0,208	-4,72527472527	-4,58852258852
0,212	-4,72527472527	-4,58852258852
0,216	-4,71062271062	-4,57387057387
0,22	-4,71550671551	-4,58363858364
0,224	-4,71550671551	-4,58363858364
0,228	-4,73015873016	-4,59340659341
0,232	-4,72039072039	-4,60317460317
0,236	-4,72527472527	-4,60317460317
0,24	-4,71550671551	-4,59340659341
0,244	-4,71550671551	-4,58852258852
0,248	-4,71550671551	-4,58852258852
0,252	-4,72527472527	-4,60805860806
0,256	-4,73504273504	-4,60805860806
0,26	-4,72527472527	-4,60805860806
0,264	-4,72039072039	-4,60317460317
0,268	-4,70573870574	-4,59340659341
0,272	-4,71550671551	-4,59829059829
0,276	-4,72527472527	-4,59829059829
0,28	-4,73504273504	-4,61782661783
0,284	-4,72527472527	-4,61294261294
0,288	-4,73504273504	-4,61782661783
0,292	-4,71062271062	-4,59829059829
0,296	-4,71550671551	-4,60805860806
0,3	-4,71062271062	-4,59829059829
0,304	-4,73504273504	-4,61782661783
0,308	-4,72527472527	-4,61294261294
0,312	-4,73504273504	-4,61782661783
0,316	-4,71062271062	-4,59829059829
0,32	-4,71062271062	-4,60805860806
0,324	-4,70573870574	-4,60317460317
0,328	-4,72527472527	-4,61782661783
0,332	-4,72527472527	-4,61782661783
0,336	-4,72527472527	-4,61782661783
0,34	-4,71062271062	-4,60805860806
0,344	-4,71062271062	-4,60805860806
0,348	-4,71062271062	-4,60805860806
0,352	-4,73015873016	-4,61782661783
0,356	-4,73015873016	-4,62271062271
0,36	-4,72527472527	-4,62271062271
0,364	-4,72039072039	-4,62271062271
0,368	-4,71062271062	-4,60805860806
0,372	-4,71550671551	-4,61294261294
0,376	-4,71062271062	-4,60805860806
0,38	-4,73015873016	-4,62759462759
0,384	-4,73015873016	-4,62271062271
0,388	-4,73015873016	-4,62759462759
0,392	-4,71550671551	-4,61294261294
0,396	-4,72039072039	-4,60805860806
0,4	-4,71550671551	-4,60805860806
0,404	-4,73015873016	-4,62759462759
0,408	-4,72527472527	-4,62271062271
0,412	-4,73504273504	-4,63247863248
0,416	-4,71062271062	-4,60805860806
0,42	-4,71550671551	-4,62271062271
0,424	-4,71062271062	-4,60805860806
0,428	-4,73504273504	-4,61782661783
0,432	-4,72527472527	-4,62759462759
0,436	-4,72527472527	-4,62759462759
0,44	-4,71062271062	-4,60805860806
0,444	-4,72039072039	-4,62271062271
0,448	-4,70573870574	-4,61294261294
0,452	-4,72527472527	-4,60805860806
0,456	-4,72527472527	-4,61782661783
0,46	-4,72527472527	-4,62759462759
0,464	-4,73015873016	-4,62759462759
0,468	-4,71062271062	-4,62759462759
0,472	-4,71550671551	-4,61294261294
0,476	-4,71062271062	-4,61294261294
0,48	-4,73015873016	-4,63247863248
0,484	-4,72527472527	-4,62759462759
0,488	-4,72527472527	-4,62759462759
0,492	-4,71062271062	-4,61294261294
0,496	-4,71550671551	-4,61782661783
0,5	-4,71062271062	-4,61294261294
0,504	-4,73015873016	-4,62759462759
0,508	-4,72527472527	-4,62271062271
0,512	-4,73015873016	-4,63247863248
0,516	-4,71062271062	-4,61294261294
0,52	-4,72039072039	-4,61782661783
0,524	-4,71062271062	-4,61782661783
0,528	-4,73504273504	-4,63247863248
0,532	-4,72527472527	-4,62759462759
0,536	-4,73015873016	-4,63247863248
0,54	-4,71062271062	-4,62759462759
0,544	-4,72527472527	-4,62271062271
0,548	-4,71062271062	-4,60805860806
0,552	-4,72527472527	-4,61782661783
0,556	-4,73015873016	-4,62759462759
0,56	-4,73015873016	-4,62759462759
0,564	-4,73015873016	-4,61782661783
0,568	-4,71550671551	-4,61782661783
0,572	-4,71550671551	-4,61782661783
0,576	-4,71062271062	-4,61782661783
0,58	-4,72527472527	-4,63247863248
0,584	-4,73015873016	-4,62759462759
0,588	-4,73015873016	-4,63247863248
0,592	-4,71550671551	-4,61294261294
0,596	-4,72039072039	-4,61294261294
0,6	-4,71550671551	-4,61782661783
0,604	-4,73504273504	-4,63247863248
0,608	-4,72527472527	-4,62759462759
0,612	-4,73504273504	-4,63247863248
0,616	-4,71550671551	-4,61782661783
0,62	-4,71550671551	-4,62271062271
