Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 10:35:53 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	-3,21123321123	-4,20268620269
0,0002	-3,9536019536	-4,84249084249
0,0004	-4,52503052503	-5,32112332112
0,0006	-4,94993894994	-5,6336996337
0,0008	-5,19902319902	-5,77045177045
0,001	-5,28205128205	-5,71672771673
0,0012	-5,16971916972	-5,49206349206
0,0014	-4,86202686203	-5,08669108669
0,0016	-4,4126984127	-4,52014652015
0,0018	-3,76800976801	-3,8021978022
0,002	-2,99633699634	-2,96703296703
0,0022	-2,13186813187	-2,0293040293
0,0024	-1,1746031746	-1,05738705739
0,0026	-0,173382173382	-0,041514041514
0,0028	0,852258852259	0,964590964591
0,003	1,83882783883	1,92673992674
0,0032	2,81562881563	2,85958485958
0,0034	3,69474969475	3,69474969475
0,0036	4,50061050061	4,4126984127
0,0038	5,18437118437	4,99389499389
0,004	5,71184371184	5,4188034188
0,0042	6,07814407814	5,67765567766
0,0044	6,26373626374	5,74114774115
0,0046	6,25885225885	5,61904761905
0,0048	6,06837606838	5,32600732601
0,005	5,71672771673	4,85225885226
0,0052	5,1746031746	4,24175824176
0,0054	4,52503052503	3,49938949939
0,0056	3,74358974359	2,66422466422
0,0058	2,84981684982	1,71184371184
0,006	1,9072039072	0,764346764347
0,0062	0,910866910867	-0,241758241758
0,0064	-0,0757020757021	-1,22344322344
0,0066	-1,07203907204	-2,19536019536
0,0068	-2,00976800977	-3,10378510379
0,007	-2,89865689866	-3,90476190476
0,0072	-3,67032967033	-4,59829059829
0,0074	-4,31501831502	-5,14041514042
0,0076	-4,8083028083	-5,53113553114
0,0078	-5,12087912088	-5,73137973138
0,008	-5,27228327228	-5,77045177045
0,0082	-5,22832722833	-5,60927960928
0,0084	-5,00854700855	-5,28205128205
0,0086	-4,61782661783	-4,778998779
0,0088	-4,05128205128	-4,10500610501
0,009	-3,3431013431	-3,32844932845
0,0092	-2,4884004884	-2,42979242979
0,0094	-1,57509157509	-1,47252747253
0,0096	-0,588522588523	-0,461538461538
0,0098	0,422466422466	0,554334554335
0,01	1,43345543346	1,53113553114
0,0102	2,42002442002	2,49816849817
0,0104	3,32844932845	3,35775335775
0,0106	4,18315018315	4,12942612943
0,0108	4,91086691087	4,77411477411
0,011	5,51648351648	5,27228327228
0,0112	5,94627594628	5,58485958486
0,0114	6,20512820513	5,73626373626
0,0116	6,28327228327	5,69230769231
0,0118	6,15628815629	5,46275946276
0,012	5,88278388278	5,07203907204
0,0122	5,41391941392	4,50061050061
0,0124	4,81318681319	3,80708180708
0,0126	4,05616605617	3,01098901099
0,0128	3,23076923077	2,10744810745
0,013	2,30769230769	1,16483516484
0,0132	1,32112332112	0,163614163614
0,0134	0,339438339438	-0,822954822955
0,0136	-0,666666666667	-1,80463980464
0,0138	-1,6336996337	-2,73748473748
0,014	-2,55677655678	-3,59218559219
0,0142	-3,36263736264	-4,32478632479
0,0144	-4,06105006105	-4,93528693529
0,0146	-4,61294261294	-5,39438339438
0,0148	-5,00854700855	-5,663003663
0,015	-5,23321123321	-5,7851037851
0,0152	-5,2673992674	-5,69230769231
0,0154	-5,13064713065	-5,44322344322
0,0156	-4,79853479853	-4,99877899878
0,0158	-4,30525030525	-4,40781440781
0,016	-3,64102564103	-3,66544566545
0,0162	-2,84981684982	-2,80586080586
0,0164	-1,97557997558	-1,88278388278
0,0166	-0,993894993895	-0,876678876679
0,0168	0,01221001221	0,13431013431
0,017	1,01831501832	1,1452991453
0,0172	2,01465201465	2,10256410256
0,0174	2,96703296703	3,01587301587
0,0176	3,85103785104	3,83638583639
0,0178	4,62271062271	4,51526251526
0,018	5,28693528694	5,09157509158
0,0182	5,78021978022	5,4822954823
0,0184	6,1221001221	5,69719169719
0,0186	6,2735042735	5,7264957265
0,0188	6,23443223443	5,57997557998
0,019	6,0293040293	5,25763125763
0,0192	5,6336996337	4,74969474969
0,0194	5,07692307692	4,11965811966
0,0196	4,38339438339	3,34798534799
0,0198	3,58241758242	2,4884004884
0,02	2,69352869353	1,65323565324
