Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		2.773V
Probe attenuation    :		1X
Voltage per ADC value:		2.441406mV
Time interval        :		1000.00000us

index		CH1_Voltage(mV)
1		3085.937500
2		3085.937500
3		3085.937500
4		3085.937500
5		3085.937500
6		3085.937500
7		3085.937500
8		3085.937500
9		3085.937500
10		3085.937500
11		3085.937500
12		3085.937500
13		3085.937500
14		3085.937500
15		3085.937500
16		3085.937500
17		3085.937500
18		3085.937500
19		3085.937500
20		3085.937500
21		3085.937500
22		3085.937500
23		3085.937500
24		3085.937500
25		3085.937500
26		3085.937500
27		3085.937500
28		3085.937500
29		3125.000000
30		3085.937500
31		3085.937500
32		3085.937500
33		3085.937500
34		3085.937500
35		3085.937500
36		3085.937500
37		3085.937500
38		3085.937500
39		3085.937500
40		3085.937500
41		3085.937500
42		3085.937500
43		3085.937500
44		3085.937500
45		3085.937500
46		3085.937500
47		3085.937500
48		3085.937500
49		3085.937500
50		3085.937500
51		3085.937500
52		3085.937500
53		3085.937500
54		3085.937500
55		3085.937500
56		3085.937500
57		3085.937500
58		3085.937500
59		3085.937500
60		3085.937500
61		3085.937500
62		3085.937500
63		3085.937500
64		3085.937500
65		3085.937500
66		3085.937500
67		3085.937500
68		3085.937500
69		3085.937500
70		3085.937500
71		3085.937500
72		3085.937500
73		3125.000000
74		3085.937500
75		3085.937500
76		3085.937500
77		3085.937500
78		3085.937500
79		3085.937500
80		3085.937500
81		3085.937500
82		3085.937500
83		3125.000000
84		3085.937500
85		3085.937500
86		3085.937500
87		3085.937500
88		3085.937500
89		3085.937500
90		3085.937500
91		3085.937500
92		3085.937500
93		3085.937500
94		3085.937500
95		3085.937500
96		3085.937500
97		3085.937500
98		3085.937500
99		3085.937500
100		3085.937500
101		3085.937500
102		3085.937500
103		3085.937500
104		3085.937500
105		3085.937500
106		3085.937500
107		3085.937500
108		3085.937500
109		3085.937500
110		3085.937500
111		3085.937500
112		3085.937500
113		3085.937500
114		3085.937500
115		3085.937500
116		3085.937500
117		3085.937500
118		3085.937500
119		3085.937500
120		3085.937500
121		3085.937500
122		3085.937500
123		3085.937500
124		3085.937500
125		3085.937500
126		3085.937500
127		3085.937500
128		3085.937500
129		3085.937500
130		3085.937500
131		3085.937500
132		3085.937500
133		3085.937500
134		3085.937500
135		3085.937500
136		3085.937500
137		3085.937500
138		3085.937500
139		3085.937500
140		3085.937500
141		3085.937500
142		3085.937500
143		3085.937500
144		3085.937500
145		3085.937500
146		3085.937500
147		3085.937500
148		3085.937500
149		3085.937500
150		3085.937500
151		3085.937500
152		3085.937500
153		3085.937500
154		3125.000000
155		3085.937500
156		3085.937500
157		3085.937500
158		3085.937500
159		3085.937500
160		3085.937500
161		3085.937500
162		3085.937500
163		3085.937500
164		3085.937500
165		3085.937500
166		3085.937500
167		3085.937500
168		3085.937500
169		3085.937500
170		3125.000000
171		3085.937500
172		3085.937500
173		3085.937500
174		3085.937500
175		3085.937500
176		3085.937500
177		3085.937500
178		3085.937500
179		3085.937500
180		3085.937500
181		3085.937500
182		3085.937500
183		3085.937500
184		3085.937500
185		3085.937500
186		3085.937500
187		3085.937500
188		3085.937500
189		3085.937500
190		3085.937500
191		3125.000000
192		3125.000000
193		3085.937500
194		3085.937500
195		3085.937500
196		3085.937500
197		3085.937500
198		3085.937500
199		3085.937500
200		3085.937500
201		3085.937500
202		3085.937500
203		3085.937500
204		3085.937500
205		3085.937500
206		3085.937500
207		3085.937500
208		3085.937500
209		3085.937500
210		3085.937500
211		3085.937500
212		3085.937500
213		3085.937500
214		3085.937500
215		3085.937500
216		3085.937500
217		3085.937500
218		3085.937500
219		3085.937500
220		3085.937500
221		3085.937500
222		3085.937500
223		3085.937500
224		3085.937500
225		3085.937500
226		3085.937500
227		3085.937500
228		3085.937500
229		3085.937500
230		3085.937500
231		3085.937500
232		3085.937500
233		3085.937500
234		3085.937500
235		3085.937500
236		3085.937500
237		3085.937500
238		3085.937500
239		3085.937500
240		3085.937500
241		3085.937500
242		3085.937500
243		3085.937500
244		3085.937500
245		3085.937500
246		3085.937500
247		3085.937500
248		3085.937500
249		3085.937500
250		3085.937500
251		3085.937500
252		3085.937500
253		3085.937500
254		3085.937500
255		3125.000000
256		3085.937500
257		3085.937500
258		3085.937500
259		3085.937500
260		3085.937500
261		3085.937500
262		3085.937500
263		3085.937500
264		3085.937500
265		3085.937500
266		3085.937500
267		3085.937500
268		3085.937500
269		3085.937500
270		3085.937500
271		3085.937500
272		3125.000000
273		3085.937500
274		3085.937500
275		3085.937500
276		3085.937500
277		3085.937500
278		3085.937500
279		3085.937500
280		3085.937500
281		3085.937500
282		3125.000000
283		3125.000000
284		3085.937500
285		3085.937500
286		3085.937500
287		3085.937500
288		3085.937500
289		3085.937500
290		3085.937500
291		3085.937500
292		3085.937500
293		3085.937500
294		3085.937500
295		3085.937500
296		3085.937500
297		3085.937500
298		3085.937500
299		3085.937500
300		3085.937500
301		3085.937500
302		3085.937500
303		3085.937500
304		3085.937500
305		3085.937500
306		3085.937500
307		3085.937500
308		3085.937500
309		3125.000000
310		3085.937500
311		3085.937500
312		3085.937500
313		3085.937500
314		3085.937500
315		3085.937500
316		3085.937500
317		3085.937500
318		3085.937500
319		3085.937500
320		3085.937500
321		3125.000000
322		3085.937500
323		3085.937500
324		3085.937500
325		3085.937500
326		3085.937500
327		3085.937500
328		3085.937500
329		3085.937500
330		3085.937500
331		3085.937500
332		3085.937500
333		3085.937500
334		3085.937500
335		3085.937500
336		3085.937500
337		3085.937500
338		3085.937500
339		3085.937500
340		3085.937500
341		3085.937500
342		3085.937500
343		3085.937500
344		3085.937500
345		3085.937500
346		3085.937500
347		3085.937500
348		3085.937500
349		3085.937500
350		3085.937500
351		3085.937500
352		3085.937500
353		3125.000000
354		3085.937500
355		3085.937500
356		3085.937500
357		3085.937500
358		3085.937500
359		3085.937500
360		3085.937500
361		3085.937500
362		3085.937500
363		3085.937500
364		3125.000000
365		3085.937500
366		3085.937500
367		3085.937500
368		3085.937500
369		3085.937500
370		3085.937500
371		3085.937500
372		3085.937500
373		3085.937500
374		3085.937500
375		3085.937500
376		3085.937500
377		3085.937500
378		3085.937500
379		3085.937500
380		3125.000000
381		3085.937500
382		3085.937500
383		3085.937500
384		3085.937500
385		3085.937500
386		3085.937500
387		3085.937500
388		3085.937500
389		3085.937500
390		3085.937500
391		3085.937500
392		3085.937500
393		3085.937500
394		3085.937500
395		3085.937500
396		3085.937500
397		3085.937500
398		3085.937500
399		3085.937500
400		3085.937500
401		3125.000000
402		3085.937500
403		3085.937500
404		3085.937500
405		3085.937500
406		3125.000000
407		3125.000000
408		3085.937500
409		3085.937500
410		3085.937500
411		3085.937500
412		3085.937500
413		3085.937500
414		3085.937500
415		3085.937500
416		3085.937500
417		3085.937500
418		3085.937500
419		3085.937500
420		3085.937500
421		3085.937500
422		3085.937500
423		3085.937500
424		3085.937500
425		3085.937500
426		3085.937500
427		3085.937500
428		3085.937500
429		3085.937500
430		3085.937500
431		3085.937500
432		3085.937500
433		3085.937500
434		3085.937500
435		3125.000000
436		3085.937500
437		3085.937500
438		3085.937500
439		3085.937500
440		3085.937500
441		3085.937500
442		3085.937500
443		3085.937500
444		3085.937500
445		3085.937500
446		3085.937500
447		3085.937500
448		3085.937500
449		3085.937500
450		3085.937500
451		3085.937500
452		3085.937500
453		3085.937500
454		3085.937500
455		3125.000000
456		3085.937500
457		3085.937500
458		3085.937500
459		3085.937500
460		3085.937500
461		3085.937500
462		3085.937500
463		3085.937500
464		3085.937500
465		3085.937500
466		3085.937500
467		3125.000000
468		3085.937500
469		3085.937500
470		3085.937500
471		3085.937500
472		3125.000000
473		3085.937500
474		3085.937500
475		3085.937500
476		3085.937500
477		3085.937500
478		3085.937500
479		3085.937500
480		3085.937500
481		3125.000000
482		3085.937500
483		3085.937500
484		3085.937500
485		3085.937500
486		3085.937500
487		3085.937500
488		3085.937500
489		3085.937500
490		3085.937500
491		3085.937500
492		3085.937500
493		3085.937500
494		3085.937500
495		3085.937500
496		3085.937500
497		3085.937500
498		3085.937500
499		3125.000000
500		3085.937500
501		3085.937500
502		3085.937500
503		3085.937500
504		3085.937500
505		3085.937500
506		3085.937500
507		3085.937500
508		3125.000000
509		3125.000000
510		3085.937500
511		3085.937500
512		3085.937500
513		3085.937500
514		3085.937500
515		3085.937500
516		3085.937500
517		3085.937500
518		3085.937500
519		3085.937500
520		3085.937500
521		3085.937500
522		3085.937500
523		3085.937500
524		3085.937500
525		3085.937500
526		3125.000000
527		3085.937500
528		3085.937500
529		3085.937500
530		3085.937500
531		3085.937500
532		3085.937500
533		3085.937500
534		3085.937500
535		3085.937500
536		3085.937500
537		3085.937500
538		3085.937500
539		3085.937500
540		3085.937500
541		3085.937500
542		3085.937500
543		3085.937500
544		3085.937500
545		3085.937500
546		3085.937500
547		3085.937500
548		3085.937500
549		3085.937500
550		3085.937500
551		3085.937500
552		3125.000000
553		3125.000000
554		3085.937500
555		3085.937500
556		3085.937500
557		3085.937500
558		3085.937500
559		3085.937500
560		3085.937500
561		3085.937500
562		3085.937500
563		3085.937500
564		3085.937500
565		3085.937500
566		3085.937500
567		3085.937500
568		3085.937500
569		3085.937500
570		3085.937500
571		3085.937500
572		3085.937500
