Channel              :		CH1
Frequency            :		1.059kHz
Period               :		0.944ms
PK-PK                :		48.83mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		11.718750
2		11.718750
3		7.812500
4		11.718750
5		7.812500
6		9.765625
7		7.812500
8		9.765625
9		5.859375
10		9.765625
11		5.859375
12		9.765625
13		5.859375
14		7.812500
15		3.906250
16		7.812500
17		3.906250
18		7.812500
19		3.906250
20		7.812500
21		3.906250
22		5.859375
23		1.953125
24		5.859375
25		1.953125
26		5.859375
27		1.953125
28		5.859375
29		1.953125
30		3.906250
31		0.000000
32		3.906250
33		0.000000
34		3.906250
35		0.000000
36		1.953125
37		0.000000
38		1.953125
39		-1.953125
40		1.953125
41		-1.953125
42		1.953125
43		-1.953125
44		1.953125
45		-1.953125
46		0.000000
47		-1.953125
48		0.000000
49		-3.906250
50		0.000000
51		-3.906250
52		0.000000
53		-3.906250
54		-1.953125
55		-5.859375
56		-1.953125
57		-3.906250
58		-1.953125
59		-5.859375
60		-1.953125
61		-5.859375
62		-1.953125
63		-5.859375
64		-3.906250
65		-5.859375
66		-3.906250
67		-7.812500
68		-3.906250
69		-7.812500
70		-3.906250
71		-7.812500
72		-5.859375
73		-7.812500
74		-5.859375
75		-7.812500
76		-5.859375
77		-7.812500
78		-5.859375
79		-9.765625
80		-5.859375
81		-9.765625
82		-5.859375
83		-11.718750
84		-5.859375
85		-9.765625
86		-5.859375
87		-9.765625
88		-7.812500
89		-9.765625
90		-7.812500
91		-9.765625
92		-7.812500
93		-9.765625
94		-7.812500
95		-9.765625
96		-5.859375
97		-9.765625
98		-7.812500
99		-11.718750
100		-7.812500
101		-11.718750
102		-7.812500
103		-11.718750
104		-7.812500
105		-11.718750
106		-7.812500
107		-11.718750
108		-7.812500
109		-11.718750
110		-7.812500
111		-11.718750
112		-7.812500
113		-11.718750
114		-7.812500
115		-11.718750
116		-9.765625
117		-11.718750
118		-7.812500
119		-11.718750
120		-7.812500
121		-11.718750
122		-7.812500
123		-11.718750
124		-9.765625
125		-11.718750
126		-7.812500
127		-11.718750
128		-7.812500
129		-13.671875
130		-7.812500
131		-11.718750
132		-7.812500
133		-11.718750
134		-7.812500
135		-11.718750
136		-7.812500
137		-11.718750
138		-7.812500
139		-11.718750
140		-7.812500
141		-11.718750
142		-7.812500
143		-11.718750
144		-7.812500
145		-11.718750
146		-7.812500
147		-9.765625
148		-7.812500
149		-9.765625
150		-7.812500
151		-11.718750
152		-7.812500
