Channel              :		CH1
Frequency            :		1.061kHz
Period               :		0.942ms
PK-PK                :		306.6mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		89.843750
2		89.843750
3		82.031250
4		87.890625
5		80.078125
6		83.984375
7		78.125000
8		82.031250
9		74.218750
10		80.078125
11		70.312500
12		76.171875
13		68.359375
14		72.265625
15		64.453125
16		70.312500
17		62.500000
18		66.406250
19		58.593750
20		64.453125
21		54.687500
22		62.500000
23		50.781250
24		56.640625
25		46.875000
26		52.734375
27		42.968750
28		48.828125
29		41.015625
30		46.875000
31		37.109375
32		42.968750
33		33.203125
34		39.062500
35		29.296875
36		35.156250
37		25.390625
38		31.250000
39		21.484375
40		27.343750
41		15.625000
42		23.437500
43		13.671875
44		19.531250
45		9.765625
46		15.625000
47		5.859375
48		11.718750
49		1.953125
50		7.812500
51		-1.953125
52		3.906250
53		-5.859375
54		0.000000
55		-9.765625
56		-3.906250
57		-13.671875
58		-7.812500
59		-17.578125
60		-11.718750
61		-21.484375
62		-15.625000
63		-25.390625
64		-19.531250
65		-29.296875
66		-23.437500
67		-33.203125
68		-27.343750
69		-37.109375
70		-31.250000
71		-41.015625
72		-35.156250
73		-44.921875
74		-39.062500
75		-48.828125
76		-42.968750
77		-52.734375
78		-46.875000
79		-58.593750
80		-50.781250
81		-60.546875
82		-54.687500
83		-64.453125
84		-58.593750
85		-68.359375
86		-62.500000
87		-72.265625
88		-66.406250
89		-76.171875
90		-70.312500
91		-78.125000
92		-74.218750
93		-82.031250
94		-78.125000
95		-85.937500
96		-82.031250
97		-89.843750
98		-85.937500
99		-93.750000
100		-87.890625
101		-97.656250
102		-91.796875
103		-99.609375
104		-95.703125
105		-103.515625
106		-97.656250
107		-105.468750
108		-101.562500
109		-109.375000
110		-105.468750
111		-113.281250
112		-107.421875
113		-115.234375
114		-109.375000
115		-119.140625
116		-113.281250
117		-121.093750
118		-117.187500
119		-125.000000
120		-119.140625
121		-126.953125
122		-123.046875
123		-128.906250
124		-125.000000
125		-132.812500
126		-126.953125
127		-134.765625
128		-128.906250
129		-136.718750
130		-132.812500
131		-138.671875
132		-134.765625
133		-140.625000
134		-136.718750
135		-142.578125
136		-138.671875
137		-146.484375
138		-140.625000
139		-146.484375
140		-142.578125
141		-148.437500
142		-144.531250
143		-150.390625
144		-146.484375
145		-152.343750
146		-146.484375
147		-152.343750
148		-148.437500
149		-154.296875
150		-150.390625
151		-156.250000
152		-152.343750
153		-156.250000
154		-152.343750
155		-158.203125
156		-152.343750
157		-158.203125
158		-154.296875
159		-160.156250
160		-154.296875
161		-158.203125
162		-156.250000
163		-160.156250
164		-156.250000
165		-160.156250
166		-156.250000
167		-160.156250
168		-156.250000
169		-160.156250
170		-156.250000
171		-160.156250
172		-156.250000
173		-160.156250
174		-156.250000
175		-158.203125
176		-156.250000
177		-160.156250
178		-154.296875
179		-158.203125
180		-156.250000
181		-158.203125
182		-154.296875
183		-156.250000
184		-154.296875
185		-156.250000
186		-152.343750
187		-154.296875
188		-152.343750
189		-154.296875
190		-150.390625
191		-152.343750
192		-150.390625
193		-152.343750
194		-146.484375
195		-150.390625
196		-146.484375
197		-148.437500
198		-144.531250
199		-146.484375
200		-142.578125
201		-146.484375
202		-140.625000
203		-142.578125
204		-138.671875
205		-142.578125
206		-136.718750
207		-138.671875
208		-134.765625
209		-136.718750
210		-132.812500
211		-136.718750
212		-128.906250
213		-134.765625
214		-125.000000
215		-132.812500
216		-123.046875
217		-126.953125
218		-123.046875
219		-125.000000
220		-119.140625
221		-121.093750
222		-115.234375
223		-117.187500
224		-113.281250
225		-115.234375
226		-111.328125
227		-113.281250
228		-105.468750
229		-109.375000
230		-101.562500
231		-109.375000
232		-99.609375
233		-105.468750
234		-97.656250
235		-99.609375
236		-93.750000
237		-95.703125
238		-89.843750
239		-91.796875
240		-85.937500
241		-87.890625
242		-83.984375
243		-83.984375
244		-76.171875
245		-82.031250
246		-74.218750
247		-80.078125
248		-70.312500
249		-76.171875
250		-66.406250
251		-70.312500
252		-62.500000
253		-66.406250
254		-60.546875
255		-62.500000
256		-56.640625
257		-58.593750
258		-52.734375
259		-54.687500
260		-48.828125
261		-50.781250
262		-42.968750
263		-46.875000
264		-39.062500
265		-42.968750
266		-33.203125
267		-39.062500
268		-33.203125
269		-37.109375
270		-27.343750
271		-29.296875
272		-23.437500
273		-27.343750
274		-19.531250
275		-21.484375
276		-15.625000
277		-17.578125
278		-9.765625
279		-15.625000
280		-5.859375
281		-9.765625
282		-1.953125
283		-5.859375
284		1.953125
285		-1.953125
286		3.906250
287		1.953125
288		9.765625
289		5.859375
290		11.718750
291		9.765625
292		15.625000
293		13.671875
294		19.531250
295		15.625000
296		25.390625
297		19.531250
298		29.296875
299		23.437500
300		33.203125
301		27.343750
302		37.109375
303		33.203125
304		39.062500
305		35.156250
306		42.968750
307		39.062500
308		44.921875
309		42.968750
310		48.828125
311		46.875000
312		54.687500
313		48.828125
314		56.640625
315		52.734375
316		60.546875
317		56.640625
318		64.453125
319		58.593750
320		66.406250
321		62.500000
322		70.312500
323		64.453125
324		72.265625
325		70.312500
326		74.218750
327		74.218750
328		80.078125
329		74.218750
330		82.031250
331		76.171875
332		85.937500
333		80.078125
334		87.890625
335		83.984375
336		89.843750
337		85.937500
338		91.796875
339		87.890625
340		95.703125
341		91.796875
342		97.656250
343		95.703125
344		99.609375
345		95.703125
346		103.515625
347		97.656250
348		105.468750
349		99.609375
350		107.421875
351		101.562500
352		111.328125
353		103.515625
354		111.328125
355		105.468750
356		115.234375
357		109.375000
358		115.234375
359		111.328125
360		115.234375
361		113.281250
362		119.140625
363		113.281250
364		121.093750
365		115.234375
366		123.046875
367		115.234375
368		125.000000
369		117.187500
370		126.953125
371		119.140625
372		126.953125
373		123.046875
374		128.906250
375		125.000000
376		126.953125
377		125.000000
378		128.906250
379		123.046875
380		132.812500
381		125.000000
382		132.812500
383		126.953125
384		132.812500
385		126.953125
386		134.765625
387		128.906250
388		134.765625
389		128.906250
390		134.765625
391		130.859375
392		134.765625
393		130.859375
394		134.765625
395		130.859375
396		136.718750
397		128.906250
398		136.718750
399		128.906250
400		138.671875
401		130.859375
402		138.671875
403		130.859375
404		136.718750
405		130.859375
406		136.718750
407		130.859375
408		136.718750
409		132.812500
410		136.718750
411		130.859375
412		136.718750
413		130.859375
414		136.718750
415		128.906250
416		136.718750
417		128.906250
418		136.718750
419		128.906250
420		136.718750
421		128.906250
422		134.765625
423		126.953125
424		134.765625
425		128.906250
426		132.812500
427		126.953125
428		130.859375
429		125.000000
430		132.812500
431		123.046875
432		130.859375
433		123.046875
434		130.859375
435		121.093750
436		128.906250
437		119.140625
438		126.953125
439		119.140625
440		125.000000
441		119.140625
442		123.046875
443		117.187500
444		121.093750
445		113.281250
446		121.093750
447		111.328125
448		121.093750
449		111.328125
450		117.187500
451		109.375000
452		117.187500
453		105.468750
454		115.234375
455		103.515625
456		113.281250
457		103.515625
458		109.375000
459		103.515625
460		105.468750
461		99.609375
462		105.468750
463		95.703125
464		105.468750
465		93.750000
466		101.562500
467		89.843750
468		99.609375
469		87.890625
470		95.703125
471		85.937500
472		93.750000
473		83.984375
474		91.796875
475		82.031250
476		87.890625
477		80.078125
478		83.984375
479		74.218750
480		82.031250
481		70.312500
482		80.078125
483		68.359375
