Channel              :		CH1
Frequency            :		1.062kHz
Period               :		0.941ms
PK-PK                :		125.0mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		41.015625
2		41.015625
3		48.828125
4		39.062500
5		46.875000
6		37.109375
7		46.875000
8		37.109375
9		42.968750
10		37.109375
11		41.015625
12		37.109375
13		41.015625
14		33.203125
15		41.015625
16		31.250000
17		39.062500
18		31.250000
19		37.109375
20		29.296875
21		37.109375
22		27.343750
23		35.156250
24		27.343750
25		33.203125
26		27.343750
27		31.250000
28		25.390625
29		29.296875
30		23.437500
31		27.343750
32		21.484375
33		27.343750
34		19.531250
35		27.343750
36		17.578125
37		25.390625
38		15.625000
39		23.437500
40		15.625000
41		21.484375
42		13.671875
43		21.484375
44		13.671875
45		17.578125
46		11.718750
47		15.625000
48		7.812500
49		15.625000
50		7.812500
51		13.671875
52		5.859375
53		13.671875
54		3.906250
55		11.718750
56		1.953125
57		9.765625
58		1.953125
59		7.812500
60		0.000000
61		5.859375
62		0.000000
63		3.906250
64		-3.906250
65		3.906250
66		-5.859375
67		1.953125
68		-5.859375
69		0.000000
70		-7.812500
71		0.000000
72		-9.765625
73		-1.953125
74		-11.718750
75		-3.906250
76		-11.718750
77		-5.859375
78		-13.671875
79		-9.765625
80		-15.625000
81		-9.765625
82		-17.578125
83		-9.765625
84		-19.531250
85		-11.718750
86		-21.484375
87		-13.671875
88		-21.484375
89		-15.625000
90		-23.437500
91		-15.625000
92		-23.437500
93		-17.578125
94		-23.437500
95		-19.531250
96		-25.390625
97		-21.484375
98		-29.296875
99		-21.484375
100		-29.296875
101		-23.437500
102		-31.250000
103		-23.437500
104		-33.203125
105		-25.390625
106		-33.203125
107		-25.390625
108		-35.156250
109		-27.343750
110		-35.156250
111		-29.296875
112		-35.156250
113		-31.250000
114		-37.109375
115		-31.250000
116		-39.062500
117		-31.250000
118		-39.062500
119		-33.203125
120		-41.015625
121		-33.203125
122		-42.968750
123		-35.156250
124		-42.968750
125		-37.109375
126		-42.968750
127		-37.109375
128		-42.968750
129		-39.062500
130		-42.968750
131		-41.015625
132		-46.875000
133		-39.062500
134		-46.875000
135		-39.062500
136		-46.875000
137		-41.015625
138		-48.828125
139		-41.015625
140		-48.828125
141		-41.015625
142		-48.828125
143		-42.968750
144		-46.875000
145		-42.968750
146		-48.828125
147		-44.921875
148		-50.781250
149		-42.968750
150		-50.781250
151		-44.921875
152		-50.781250
153		-42.968750
154		-52.734375
155		-44.921875
156		-50.781250
157		-44.921875
158		-52.734375
159		-44.921875
160		-50.781250
161		-44.921875
162		-48.828125
163		-46.875000
164		-50.781250
165		-46.875000
166		-52.734375
167		-44.921875
168		-50.781250
169		-44.921875
170		-50.781250
171		-44.921875
172		-52.734375
173		-44.921875
174		-52.734375
175		-44.921875
176		-50.781250
177		-44.921875
178		-48.828125
179		-46.875000
180		-48.828125
181		-44.921875
182		-50.781250
183		-42.968750
184		-50.781250
185		-42.968750
186		-48.828125
187		-42.968750
188		-48.828125
189		-42.968750
190		-48.828125
191		-41.015625
192		-46.875000
193		-41.015625
194		-46.875000
195		-42.968750
196		-44.921875
197		-41.015625
198		-44.921875
199		-41.015625
200		-44.921875
201		-37.109375
202		-44.921875
203		-39.062500
204		-42.968750
205		-37.109375
206		-42.968750
207		-35.156250
208		-42.968750
209		-35.156250
210		-41.015625
211		-33.203125
212		-39.062500
213		-35.156250
214		-37.109375
215		-33.203125
216		-39.062500
217		-31.250000
218		-37.109375
219		-29.296875
220		-37.109375
221		-29.296875
222		-35.156250
223		-27.343750
224		-33.203125
225		-27.343750
226		-33.203125
227		-25.390625
228		-29.296875
229		-25.390625
230		-27.343750
231		-25.390625
232		-29.296875
233		-21.484375
234		-27.343750
235		-19.531250
236		-25.390625
237		-19.531250
238		-25.390625
239		-17.578125
240		-23.437500
241		-15.625000
242		-21.484375
243		-15.625000
244		-19.531250
245		-13.671875
246		-17.578125
247		-13.671875
248		-15.625000
249		-11.718750
250		-15.625000
251		-9.765625
252		-13.671875
253		-9.765625
254		-13.671875
255		-7.812500
256		-11.718750
257		-5.859375
258		-9.765625
259		-3.906250
260		-7.812500
261		-3.906250
262		-5.859375
263		-1.953125
264		-3.906250
265		0.000000
266		-3.906250
267		1.953125
268		-3.906250
269		3.906250
270		-1.953125
271		5.859375
272		0.000000
273		5.859375
274		1.953125
275		7.812500
276		1.953125
277		9.765625
278		3.906250
279		9.765625
280		7.812500
281		11.718750
282		9.765625
283		13.671875
284		7.812500
285		15.625000
286		9.765625
287		17.578125
288		11.718750
289		19.531250
290		13.671875
291		19.531250
292		15.625000
293		21.484375
294		15.625000
295		23.437500
296		19.531250
297		23.437500
298		21.484375
299		25.390625
300		21.484375
301		27.343750
302		21.484375
303		29.296875
304		23.437500
305		31.250000
306		25.390625
307		33.203125
308		27.343750
309		33.203125
310		27.343750
311		35.156250
312		31.250000
313		35.156250
314		33.203125
315		35.156250
316		33.203125
317		39.062500
318		33.203125
319		41.015625
320		35.156250
321		41.015625
322		37.109375
323		42.968750
324		37.109375
325		44.921875
326		39.062500
327		44.921875
328		41.015625
329		46.875000
330		42.968750
331		46.875000
332		42.968750
333		46.875000
334		42.968750
335		50.781250
336		44.921875
337		52.734375
338		44.921875
339		52.734375
340		46.875000
341		54.687500
342		46.875000
343		54.687500
344		48.828125
345		56.640625
346		50.781250
347		54.687500
348		52.734375
349		56.640625
350		50.781250
351		58.593750
352		52.734375
353		60.546875
354		52.734375
355		60.546875
356		54.687500
357		60.546875
358		54.687500
359		60.546875
360		54.687500
361		62.500000
362		56.640625
363		62.500000
364		58.593750
365		62.500000
366		58.593750
367		64.453125
368		58.593750
369		64.453125
370		58.593750
371		66.406250
372		58.593750
373		66.406250
374		60.546875
375		66.406250
376		60.546875
377		66.406250
378		60.546875
379		68.359375
380		62.500000
381		66.406250
382		62.500000
383		66.406250
384		62.500000
385		68.359375
386		62.500000
387		68.359375
388		62.500000
389		68.359375
390		62.500000
391		70.312500
392		62.500000
393		70.312500
394		62.500000
395		70.312500
396		64.453125
397		68.359375
398		64.453125
399		68.359375
400		64.453125
401		70.312500
402		64.453125
403		70.312500
404		62.500000
405		70.312500
406		62.500000
407		70.312500
408		62.500000
409		70.312500
410		62.500000
411		70.312500
412		62.500000
413		70.312500
414		64.453125
415		68.359375
416		64.453125
417		66.406250
418		62.500000
419		68.359375
420		62.500000
421		68.359375
422		60.546875
423		68.359375
424		60.546875
425		68.359375
426		60.546875
427		68.359375
428		60.546875
429		66.406250
430		62.500000
431		66.406250
432		60.546875
433		64.453125
434		58.593750
435		64.453125
436		58.593750
437		64.453125
438		56.640625
439		64.453125
440		56.640625
441		64.453125
442		56.640625
443		62.500000
444		54.687500
445		62.500000
446		54.687500
447		60.546875
448		56.640625
449		58.593750
450		52.734375
451		58.593750
452		52.734375
453		58.593750
454		50.781250
455		58.593750
456		50.781250
457		56.640625
458		48.828125
459		56.640625
460		48.828125
461		54.687500
462		46.875000
463		54.687500
464		48.828125
465		50.781250
466		46.875000
467		50.781250
468		42.968750
469		50.781250
470		42.968750
471		48.828125
472		41.015625
473		48.828125
474		39.062500
475		46.875000
476		39.062500
477		46.875000
478		39.062500
479		44.921875
480		37.109375
481		42.968750
482		37.109375
483		41.015625
484		33.203125
485		41.015625
486		33.203125
487		39.062500
488		31.250000
489		39.062500
490		29.296875
491		37.109375
492		29.296875
493		35.156250
494		27.343750
495		35.156250
496		25.390625
497		31.250000
498		25.390625
499		29.296875
500		25.390625
501		29.296875
502		21.484375
503		29.296875
504		19.531250
505		27.343750
506		17.578125
507		25.390625
508		17.578125
509		23.437500
510		15.625000
511		23.437500
512		13.671875
513		21.484375
514		13.671875
515		19.531250
516		11.718750
517		15.625000
518		9.765625
519		15.625000
520		7.812500
521		15.625000
522		5.859375
523		13.671875
524		3.906250
525		11.718750
526		1.953125
527		9.765625
528		0.000000
529		7.812500
530		0.000000
531		7.812500
532		0.000000
533		3.906250
534		-3.906250
535		1.953125
536		-5.859375
537		1.953125
538		-7.812500
539		0.000000
540		-9.765625
541		0.000000
542		-9.765625
543		-1.953125
544		-11.718750
545		-3.906250
546		-13.671875
547		-5.859375
548		-11.718750
549		-7.812500
550		-13.671875
551		-9.765625
552		-17.578125
553		-9.765625
554		-17.578125
555		-11.718750
556		-19.531250
557		-13.671875
558		-21.484375
559		-13.671875
560		-23.437500
561		-15.625000
562		-25.390625
563		-17.578125
564		-25.390625
565		-17.578125
566		-25.390625
567		-21.484375
568		-29.296875
569		-21.484375
570		-29.296875
571		-23.437500
572		-31.250000
573		-23.437500
574		-31.250000
575		-25.390625
576		-33.203125
577		-27.343750
578		-35.156250
579		-27.343750
580		-35.156250
581		-29.296875
582		-35.156250
583		-31.250000
584		-39.062500
585		-31.250000
586		-39.062500
587		-31.250000
588		-41.015625
589		-33.203125
590		-41.015625
591		-35.156250
592		-42.968750
593		-35.156250
594		-42.968750
595		-35.156250
596		-42.968750
597		-37.109375
598		-42.968750
599		-39.062500
600		-42.968750
601		-39.062500
602		-44.921875
603		-41.015625
604		-46.875000
605		-41.015625
606		-46.875000
607		-41.015625
608		-48.828125
609		-41.015625
610		-48.828125
611		-42.968750
612		-48.828125
613		-42.968750
614		-48.828125
615		-42.968750
616		-48.828125
617		-44.921875
618		-50.781250
619		-44.921875
620		-50.781250
621		-44.921875
622		-50.781250
623		-44.921875
624		-52.734375
625		-44.921875
626		-52.734375
627		-44.921875
628		-52.734375
629		-46.875000
630		-52.734375
631		-44.921875
632		-50.781250
633		-46.875000
634		-50.781250
635		-46.875000
636		-52.734375
637		-46.875000
638		-52.734375
639		-46.875000
640		-52.734375
641		-46.875000
642		-52.734375
643		-44.921875
644		-52.734375
645		-46.875000
646		-52.734375
647		-44.921875
648		-50.781250
649		-44.921875
650		-48.828125
651		-46.875000
652		-50.781250
653		-44.921875
654		-50.781250
655		-42.968750
656		-50.781250
657		-44.921875
658		-50.781250
659		-42.968750
660		-48.828125
661		-42.968750
662		-48.828125
663		-42.968750
664		-48.828125
665		-41.015625
666		-44.921875
667		-42.968750
668		-44.921875
669		-41.015625
670		-46.875000
671		-39.062500
672		-44.921875
673		-37.109375
674		-44.921875
675		-37.109375
676		-42.968750
677		-37.109375
678		-42.968750
679		-37.109375
680		-41.015625
681		-35.156250
682		-41.015625
683		-35.156250
684		-39.062500
685		-35.156250
686		-39.062500
687		-31.250000
688		-39.062500
689		-31.250000
690		-37.109375
691		-29.296875
692		-37.109375
693		-29.296875
694		-35.156250
695		-29.296875
696		-33.203125
697		-27.343750
698		-31.250000
699		-25.390625
700		-29.296875
701		-25.390625
702		-29.296875
703		-23.437500
704		-29.296875
705		-21.484375
706		-27.343750
707		-19.531250
708		-25.390625
709		-19.531250
710		-25.390625
711		-17.578125
712		-23.437500
713		-15.625000
714		-21.484375
715		-15.625000
716		-21.484375
717		-15.625000
718		-17.578125
719		-13.671875
720		-17.578125
721		-11.718750
722		-15.625000
723		-9.765625
724		-15.625000
725		-7.812500
726		-13.671875
727		-5.859375
728		-11.718750
729		-5.859375
730		-9.765625
731		-1.953125
732		-7.812500
733		-3.906250
734		-5.859375
735		-1.953125
736		-5.859375
737		0.000000
738		-3.906250
739		1.953125
740		-3.906250
741		3.906250
742		-1.953125
743		5.859375
744		0.000000
745		7.812500
746		1.953125
747		7.812500
748		3.906250
749		9.765625
750		5.859375
751		9.765625
752		7.812500
753		11.718750
754		7.812500
755		15.625000
756		9.765625
757		15.625000
758		9.765625
759		17.578125
760		11.718750
761		19.531250
762		13.671875
763		21.484375
764		15.625000
765		21.484375
766		17.578125
767		23.437500
768		19.531250
769		23.437500
770		19.531250
771		27.343750
772		21.484375
773		27.343750
774		23.437500
775		29.296875
776		23.437500
777		31.250000
778		25.390625
779		31.250000
780		27.343750
781		33.203125
782		27.343750
783		35.156250
784		31.250000
785		35.156250
786		33.203125
787		37.109375
788		33.203125
789		39.062500
790		33.203125
791		41.015625
792		35.156250
793		41.015625
794		37.109375
795		42.968750
796		37.109375
797		44.921875
798		39.062500
799		46.875000
800		41.015625
801		44.921875
802		42.968750
803		46.875000
804		42.968750
805		48.828125
806		42.968750
807		50.781250
808		42.968750
809		50.781250
810		44.921875
811		52.734375
812		46.875000
813		52.734375
814		46.875000
815		54.687500
816		48.828125
817		54.687500
818		50.781250
819		54.687500
820		50.781250
821		56.640625
822		50.781250
823		58.593750
824		50.781250
825		58.593750
826		52.734375
827		60.546875
828		52.734375
829		60.546875
830		54.687500
831		60.546875
832		54.687500
833		60.546875
834		58.593750
835		60.546875
836		58.593750
837		62.500000
838		56.640625
839		64.453125
840		58.593750
841		66.406250
842		58.593750
843		64.453125
844		58.593750
845		66.406250
846		58.593750
847		66.406250
848		60.546875
849		66.406250
850		60.546875
851		66.406250
852		62.500000
853		66.406250
854		62.500000
855		66.406250
856		60.546875
857		68.359375
858		62.500000
859		68.359375
860		62.500000
861		68.359375
862		62.500000
863		68.359375
864		62.500000
865		68.359375
866		62.500000
867		68.359375
868		64.453125
869		68.359375
870		64.453125
871		68.359375
872		62.500000
873		68.359375
874		62.500000
875		68.359375
876		62.500000
877		70.312500
878		60.546875
879		70.312500
880		62.500000
881		70.312500
882		62.500000
883		68.359375
884		64.453125
885		66.406250
886		64.453125
887		66.406250
888		60.546875
889		68.359375
890		60.546875
891		68.359375
892		60.546875
893		68.359375
894		60.546875
895		68.359375
896		60.546875
897		66.406250
898		58.593750
899		66.406250
900		60.546875
901		64.453125
902		60.546875
903		64.453125
904		58.593750
905		64.453125
906		58.593750
907		64.453125
908		56.640625
909		64.453125
910		56.640625
911		62.500000
912		54.687500
913		64.453125
914		54.687500
915		60.546875
916		54.687500
917		60.546875
918		54.687500
919		58.593750
920		54.687500
921		56.640625
922		50.781250
923		58.593750
924		50.781250
925		58.593750
926		50.781250
927		56.640625
928		48.828125
929		54.687500
930		48.828125
931		54.687500
932		46.875000
933		52.734375
934		46.875000
935		52.734375
936		46.875000
937		50.781250
938		44.921875
939		48.828125
940		42.968750
941		48.828125
942		41.015625
943		48.828125
944		41.015625
945		46.875000
946		39.062500
947		46.875000
948		39.062500
949		44.921875
950		37.109375
951		42.968750
952		37.109375
953		41.015625
954		35.156250
955		39.062500
956		33.203125
957		39.062500
958		31.250000
959		39.062500
960		31.250000
961		37.109375
962		27.343750
963		35.156250
964		27.343750
965		33.203125
966		25.390625
967		33.203125
968		25.390625
969		31.250000
970		25.390625
971		29.296875
972		21.484375
973		27.343750
974		21.484375
975		27.343750
976		17.578125
977		25.390625
978		17.578125
979		25.390625
980		15.625000
981		21.484375
982		13.671875
983		21.484375
984		11.718750
985		19.531250
986		11.718750
987		15.625000
988		9.765625
989		15.625000
990		7.812500
991		15.625000
992		5.859375
993		13.671875
994		3.906250
995		11.718750
996		1.953125
997		9.765625
998		1.953125
999		9.765625
1000		0.000000
1001		7.812500
1002		0.000000
1003		3.906250
1004		-1.953125
1005		1.953125
1006		-3.906250
1007		1.953125
1008		-7.812500
1009		1.953125
1010		-7.812500
1011		-1.953125
1012		-9.765625
1013		-1.953125
1014		-9.765625
1015		-3.906250
1016		-11.718750
1017		-5.859375
1018		-11.718750
1019		-7.812500
1020		-13.671875
1021		-9.765625
1022		-17.578125
1023		-11.718750
1024		-17.578125
1025		-11.718750
1026		-19.531250
1027		-13.671875
1028		-21.484375
1029		-13.671875
1030		-21.484375
1031		-15.625000
1032		-23.437500
1033		-17.578125
1034		-25.390625
1035		-17.578125
1036		-25.390625
1037		-21.484375
1038		-27.343750
1039		-23.437500
1040		-29.296875
1041		-21.484375
1042		-31.250000
1043		-23.437500
1044		-31.250000
1045		-25.390625
1046		-33.203125
1047		-25.390625
1048		-33.203125
1049		-27.343750
1050		-35.156250
1051		-29.296875
1052		-35.156250
1053		-29.296875
1054		-35.156250
1055		-33.203125
1056		-39.062500
1057		-33.203125
1058		-39.062500
1059		-33.203125
1060		-41.015625
1061		-33.203125
1062		-42.968750
1063		-35.156250
1064		-42.968750
1065		-35.156250
1066		-42.968750
1067		-37.109375
1068		-44.921875
1069		-37.109375
1070		-44.921875
1071		-41.015625
1072		-44.921875
1073		-41.015625
1074		-46.875000
1075		-39.062500
1076		-48.828125
1077		-41.015625
1078		-48.828125
1079		-42.968750
1080		-48.828125
1081		-41.015625
1082		-48.828125
1083		-42.968750
1084		-48.828125
1085		-42.968750
1086		-48.828125
1087		-44.921875
1088		-48.828125
1089		-46.875000
1090		-50.781250
1091		-44.921875
1092		-50.781250
1093		-44.921875
1094		-52.734375
1095		-44.921875
1096		-52.734375
1097		-46.875000
1098		-52.734375
1099		-46.875000
1100		-52.734375
1101		-46.875000
1102		-52.734375
1103		-46.875000
1104		-50.781250
1105		-48.828125
1106		-52.734375
1107		-46.875000
1108		-52.734375
1109		-46.875000
1110		-52.734375
1111		-46.875000
1112		-52.734375
1113		-46.875000
1114		-52.734375
1115		-46.875000
1116		-52.734375
1117		-46.875000
1118		-52.734375
1119		-46.875000
1120		-50.781250
1121		-46.875000
1122		-50.781250
1123		-46.875000
1124		-50.781250
1125		-44.921875
1126		-50.781250
1127		-44.921875
1128		-50.781250
1129		-42.968750
1130		-50.781250
1131		-42.968750
1132		-48.828125
1133		-42.968750
1134		-48.828125
1135		-42.968750
1136		-48.828125
1137		-42.968750
1138		-46.875000
1139		-42.968750
1140		-46.875000
1141		-39.062500
1142		-46.875000
1143		-39.062500
1144		-44.921875
1145		-39.062500
1146		-44.921875
1147		-39.062500
1148		-44.921875
1149		-37.109375
1150		-42.968750
1151		-37.109375
1152		-42.968750
1153		-35.156250
1154		-39.062500
1155		-37.109375
1156		-39.062500
1157		-35.156250
1158		-39.062500
1159		-31.250000
1160		-37.109375
1161		-31.250000
1162		-37.109375
1163		-31.250000
1164		-35.156250
1165		-29.296875
1166		-35.156250
1167		-27.343750
1168		-33.203125
1169		-25.390625
1170		-31.250000
1171		-27.343750
1172		-29.296875
1173		-25.390625
1174		-29.296875
1175		-23.437500
1176		-29.296875
1177		-21.484375
1178		-27.343750
1179		-21.484375
1180		-25.390625
1181		-19.531250
1182		-25.390625
1183		-17.578125
1184		-23.437500
1185		-15.625000
1186		-21.484375
1187		-15.625000
1188		-19.531250
1189		-15.625000
1190		-17.578125
1191		-11.718750
1192		-17.578125
1193		-11.718750
1194		-15.625000
1195		-9.765625
1196		-15.625000
1197		-7.812500
1198		-13.671875
1199		-5.859375
1200		-11.718750
1201		-3.906250
1202		-9.765625
1203		-3.906250
1204		-7.812500
1205		-3.906250
1206		-5.859375
1207		-1.953125
1208		-5.859375
1209		0.000000
1210		-3.906250
1211		3.906250
1212		-3.906250
1213		3.906250
1214		-1.953125
1215		5.859375
1216		0.000000
1217		7.812500
1218		1.953125
1219		9.765625
1220		1.953125
1221		9.765625
1222		5.859375
1223		9.765625
1224		7.812500
1225		13.671875
1226		7.812500
1227		15.625000
1228		9.765625
1229		17.578125
1230		11.718750
1231		17.578125
1232		11.718750
1233		19.531250
1234		13.671875
1235		21.484375
1236		15.625000
1237		21.484375
1238		19.531250
1239		23.437500
1240		19.531250
1241		23.437500
1242		19.531250
1243		27.343750
1244		21.484375
1245		29.296875
1246		23.437500
1247		29.296875
1248		25.390625
1249		31.250000
1250		25.390625
1251		33.203125
1252		27.343750
1253		35.156250
1254		29.296875
1255		33.203125
1256		31.250000
1257		35.156250
1258		31.250000
1259		39.062500
1260		33.203125
1261		39.062500
1262		33.203125
1263		41.015625
1264		35.156250
1265		42.968750
1266		37.109375
1267		42.968750
1268		37.109375
1269		44.921875
1270		39.062500
1271		44.921875
1272		41.015625
1273		44.921875
1274		41.015625
1275		46.875000
1276		42.968750
1277		48.828125
1278		42.968750
1279		50.781250
1280		44.921875
1281		50.781250
1282		44.921875
1283		52.734375
1284		46.875000
1285		52.734375
1286		46.875000
1287		54.687500
1288		50.781250
1289		54.687500
1290		50.781250
1291		54.687500
1292		50.781250
1293		56.640625
1294		50.781250
1295		58.593750
1296		52.734375
1297		58.593750
1298		52.734375
1299		58.593750
1300		52.734375
1301		60.546875
1302		54.687500
1303		60.546875
1304		56.640625
1305		60.546875
1306		58.593750
1307		62.500000
1308		56.640625
1309		64.453125
1310		56.640625
1311		64.453125
1312		56.640625
1313		64.453125
1314		58.593750
1315		66.406250
1316		58.593750
1317		64.453125
1318		58.593750
1319		66.406250
1320		60.546875
1321		66.406250
1322		62.500000
1323		64.453125
1324		62.500000
1325		66.406250
1326		60.546875
1327		68.359375
1328		60.546875
1329		68.359375
1330		62.500000
1331		68.359375
1332		62.500000
1333		68.359375
1334		62.500000
1335		70.312500
1336		62.500000
1337		68.359375
1338		64.453125
1339		68.359375
1340		64.453125
1341		68.359375
1342		62.500000
1343		68.359375
1344		62.500000
1345		68.359375
1346		62.500000
1347		70.312500
1348		62.500000
1349		68.359375
1350		62.500000
1351		68.359375
1352		62.500000
1353		68.359375
1354		62.500000
1355		70.312500
1356		64.453125
1357		66.406250
1358		62.500000
1359		66.406250
1360		60.546875
1361		68.359375
1362		60.546875
1363		68.359375
1364		60.546875
1365		66.406250
1366		60.546875
1367		68.359375
1368		58.593750
1369		66.406250
1370		60.546875
1371		66.406250
1372		60.546875
1373		64.453125
1374		60.546875
1375		64.453125
1376		58.593750
1377		64.453125
1378		56.640625
1379		64.453125
1380		56.640625
1381		64.453125
1382		56.640625
1383		62.500000
1384		54.687500
1385		62.500000
1386		54.687500
1387		62.500000
1388		54.687500
1389		60.546875
1390		54.687500
1391		58.593750
1392		52.734375
1393		58.593750
1394		50.781250
1395		58.593750
1396		50.781250
1397		56.640625
1398		48.828125
1399		56.640625
1400		48.828125
1401		54.687500
1402		46.875000
1403		54.687500
1404		46.875000
1405		52.734375
1406		46.875000
1407		50.781250
1408		46.875000
1409		50.781250
1410		42.968750
1411		50.781250
1412		42.968750
1413		48.828125
1414		41.015625
1415		48.828125
1416		41.015625
1417		46.875000
1418		39.062500
1419		46.875000
1420		37.109375
1421		44.921875
1422		37.109375
1423		41.015625
1424		37.109375
1425		41.015625
1426		33.203125
1427		41.015625
1428		31.250000
1429		39.062500
1430		31.250000
1431		37.109375
1432		29.296875
1433		37.109375
1434		27.343750
1435		35.156250
1436		25.390625
1437		33.203125
1438		25.390625
1439		31.250000
1440		25.390625
1441		29.296875
1442		23.437500
1443		27.343750
1444		21.484375
1445		27.343750
1446		19.531250
1447		27.343750
1448		17.578125
1449		25.390625
1450		15.625000
1451		23.437500
1452		13.671875
1453		21.484375
1454		13.671875
1455		21.484375
1456		13.671875
1457		17.578125
1458		11.718750
1459		15.625000
1460		7.812500
1461		15.625000
1462		5.859375
1463		15.625000
1464		5.859375
1465		11.718750
1466		3.906250
1467		11.718750
1468		1.953125
1469		9.765625
1470		0.000000
1471		7.812500
1472		1.953125
1473		7.812500
1474		0.000000
1475		3.906250
1476		-3.906250
1477		3.906250
1478		-5.859375
1479		1.953125
1480		-7.812500
1481		0.000000
1482		-7.812500
1483		-1.953125
1484		-9.765625
1485		-1.953125
1486		-11.718750
1487		-3.906250
1488		-11.718750
1489		-5.859375
1490		-13.671875
1491		-7.812500
1492		-13.671875
1493		-9.765625
1494		-17.578125
1495		-9.765625
1496		-19.531250
1497		-11.718750
1498		-19.531250
1499		-13.671875
1500		-21.484375
1501		-15.625000
1502		-23.437500
1503		-15.625000
1504		-25.390625
1505		-17.578125
1506		-23.437500
1507		-21.484375
1508		-25.390625
1509		-21.484375
1510		-29.296875
1511		-23.437500
1512		-31.250000
1513		-23.437500
1514		-31.250000
1515		-25.390625
1516		-33.203125
1517		-25.390625
1518		-35.156250
1519		-27.343750
1520		-35.156250
1521		-27.343750
1522		-37.109375
1523		-29.296875
1524		-35.156250
1525		-31.250000
1526		-37.109375
1527		-33.203125
1528		-39.062500
1529		-31.250000
1530		-41.015625
1531		-33.203125
1532		-41.015625
1533		-35.156250
1534		-42.968750
1535		-35.156250
1536		-42.968750
1537		-37.109375
1538		-44.921875
1539		-37.109375
1540		-42.968750
1541		-39.062500
1542		-42.968750
1543		-41.015625
1544		-44.921875
1545		-39.062500
1546		-46.875000
1547		-41.015625
1548		-46.875000
1549		-41.015625
1550		-48.828125
1551		-41.015625
1552		-48.828125
1553		-41.015625
1554		-50.781250
1555		-42.968750
1556		-48.828125
1557		-42.968750
1558		-48.828125
1559		-44.921875
1560		-50.781250
1561		-44.921875
1562		-50.781250
1563		-44.921875
1564		-50.781250
1565		-44.921875
1566		-52.734375
1567		-44.921875
1568		-52.734375
