Channel              :		CH1
Frequency            :		  1.062kHz
Period               :		  ?
PK-PK                :		23.44mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		5.859375
2		5.859375
3		9.765625
4		5.859375
5		9.765625
6		5.859375
7		9.765625
8		5.859375
9		9.765625
10		5.859375
11		9.765625
12		5.859375
13		9.765625
14		5.859375
15		9.765625
16		7.812500
17		9.765625
18		5.859375
19		9.765625
20		5.859375
21		11.718750
22		7.812500
23		11.718750
24		7.812500
25		11.718750
26		7.812500
27		11.718750
28		7.812500
29		11.718750
30		7.812500
31		11.718750
32		7.812500
33		11.718750
34		7.812500
35		11.718750
36		7.812500
37		11.718750
38		7.812500
39		11.718750
40		7.812500
41		11.718750
42		7.812500
43		11.718750
44		9.765625
45		11.718750
46		9.765625
47		11.718750
48		9.765625
49		11.718750
50		9.765625
51		13.671875
52		9.765625
53		13.671875
54		9.765625
55		13.671875
56		9.765625
57		13.671875
58		9.765625
59		13.671875
60		9.765625
61		13.671875
62		11.718750
63		13.671875
64		9.765625
65		15.625000
66		9.765625
67		13.671875
68		9.765625
69		13.671875
70		11.718750
71		13.671875
72		9.765625
73		15.625000
74		11.718750
75		13.671875
76		11.718750
77		15.625000
78		11.718750
79		15.625000
80		11.718750
81		15.625000
82		11.718750
83		15.625000
84		11.718750
85		15.625000
86		11.718750
87		15.625000
88		11.718750
89		15.625000
90		11.718750
91		15.625000
92		11.718750
93		15.625000
94		11.718750
95		15.625000
96		11.718750
97		15.625000
98		11.718750
99		15.625000
100		11.718750
101		15.625000
102		11.718750
103		15.625000
104		11.718750
105		15.625000
106		11.718750
107		15.625000
108		13.671875
109		15.625000
110		11.718750
111		15.625000
112		11.718750
113		15.625000
114		13.671875
115		15.625000
116		13.671875
117		15.625000
118		11.718750
119		17.578125
120		11.718750
121		15.625000
122		13.671875
123		15.625000
124		13.671875
125		15.625000
126		13.671875
127		17.578125
128		11.718750
129		15.625000
130		13.671875
131		17.578125
132		13.671875
133		15.625000
134		13.671875
135		15.625000
136		11.718750
137		17.578125
138		11.718750
139		15.625000
140		13.671875
141		15.625000
142		13.671875
143		15.625000
144		13.671875
145		15.625000
146		11.718750
147		15.625000
148		11.718750
149		15.625000
150		11.718750
151		15.625000
152		11.718750
153		15.625000
154		11.718750
155		15.625000
156		11.718750
157		15.625000
158		11.718750
159		15.625000
160		11.718750
161		15.625000
162		11.718750
163		15.625000
164		11.718750
165		15.625000
166		11.718750
167		15.625000
168		11.718750
169		15.625000
170		11.718750
171		15.625000
172		11.718750
173		15.625000
174		11.718750
175		13.671875
176		11.718750
177		13.671875
178		9.765625
179		15.625000
180		11.718750
181		13.671875
182		11.718750
183		13.671875
184		11.718750
185		13.671875
186		9.765625
187		13.671875
188		9.765625
189		13.671875
190		9.765625
191		13.671875
192		9.765625
193		13.671875
194		9.765625
195		13.671875
196		9.765625
197		13.671875
198		9.765625
199		13.671875
200		9.765625
201		13.671875
202		9.765625
203		13.671875
204		9.765625
205		13.671875
206		7.812500
207		13.671875
208		9.765625
209		11.718750
210		9.765625
211		11.718750
212		7.812500
213		11.718750
214		7.812500
215		11.718750
216		7.812500
217		11.718750
218		7.812500
219		11.718750
220		7.812500
221		11.718750
222		7.812500
223		11.718750
224		7.812500
225		11.718750
226		7.812500
227		9.765625
228		5.859375
229		11.718750
230		7.812500
231		9.765625
232		5.859375
233		9.765625
234		5.859375
235		11.718750
236		5.859375
237		9.765625
238		5.859375
239		9.765625
240		5.859375
241		9.765625
242		5.859375
243		9.765625
244		3.906250
245		9.765625
246		5.859375
247		9.765625
248		5.859375
249		9.765625
250		5.859375
251		9.765625
252		5.859375
253		9.765625
254		5.859375
255		9.765625
256		5.859375
257		9.765625
258		5.859375
259		7.812500
260		5.859375
261		7.812500
262		3.906250
263		7.812500
264		3.906250
265		7.812500
266		3.906250
267		7.812500
268		3.906250
269		7.812500
270		3.906250
271		7.812500
272		3.906250
273		7.812500
274		3.906250
275		7.812500
276		3.906250
277		7.812500
278		3.906250
279		7.812500
280		3.906250
281		7.812500
282		3.906250
283		7.812500
284		3.906250
285		7.812500
286		3.906250
287		5.859375
288		3.906250
289		5.859375
290		3.906250
291		5.859375
292		3.906250
293		5.859375
294		1.953125
295		5.859375
296		3.906250
297		5.859375
298		1.953125
299		5.859375
300		1.953125
301		5.859375
302		1.953125
303		5.859375
304		1.953125
305		5.859375
306		1.953125
307		5.859375
308		1.953125
309		5.859375
310		1.953125
311		5.859375
312		1.953125
313		5.859375
314		1.953125
315		5.859375
316		1.953125
317		5.859375
318		1.953125
319		5.859375
320		1.953125
321		5.859375
322		1.953125
323		5.859375
324		1.953125
325		5.859375
326		1.953125
327		5.859375
328		1.953125
329		5.859375
330		1.953125
331		5.859375
332		1.953125
333		5.859375
334		1.953125
335		5.859375
336		1.953125
337		3.906250
338		1.953125
339		3.906250
340		0.000000
341		5.859375
342		1.953125
343		3.906250
344		1.953125
345		3.906250
346		1.953125
347		5.859375
348		1.953125
349		3.906250
350		1.953125
351		3.906250
352		1.953125
353		5.859375
354		1.953125
355		3.906250
356		1.953125
357		5.859375
358		0.000000
359		5.859375
360		1.953125
361		3.906250
362		1.953125
363		3.906250
364		1.953125
365		3.906250
366		1.953125
367		5.859375
368		1.953125
369		3.906250
370		1.953125
371		3.906250
372		0.000000
373		3.906250
374		0.000000
375		5.859375
376		1.953125
377		3.906250
378		1.953125
379		3.906250
380		0.000000
381		5.859375
382		0.000000
383		3.906250
384		1.953125
385		5.859375
386		1.953125
387		3.906250
388		0.000000
389		5.859375
390		0.000000
391		3.906250
392		1.953125
393		3.906250
394		1.953125
395		3.906250
396		0.000000
397		5.859375
398		1.953125
399		3.906250
400		1.953125
401		5.859375
402		1.953125
403		5.859375
404		1.953125
405		5.859375
406		1.953125
407		3.906250
408		0.000000
409		5.859375
410		1.953125
411		3.906250
412		1.953125
413		5.859375
414		1.953125
415		5.859375
416		1.953125
417		5.859375
418		1.953125
419		5.859375
420		1.953125
421		5.859375
422		1.953125
423		5.859375
424		1.953125
425		5.859375
426		1.953125
427		5.859375
428		1.953125
429		5.859375
430		1.953125
431		5.859375
432		1.953125
433		5.859375
434		1.953125
435		5.859375
436		1.953125
