Channel              :		CH1
Frequency            :		1.978kHz
Period               :		0.506ms
PK-PK                :		175.8mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		83.984375
2		83.984375
3		87.890625
4		83.984375
5		87.890625
6		83.984375
7		87.890625
8		85.937500
9		87.890625
10		83.984375
11		87.890625
12		83.984375
13		87.890625
14		83.984375
15		87.890625
16		83.984375
17		85.937500
18		82.031250
19		85.937500
20		82.031250
21		85.937500
22		80.078125
23		85.937500
24		78.125000
25		83.984375
26		78.125000
27		82.031250
28		76.171875
29		80.078125
30		74.218750
31		78.125000
32		72.265625
33		76.171875
34		70.312500
35		74.218750
36		68.359375
37		72.265625
38		64.453125
39		70.312500
40		62.500000
41		66.406250
42		60.546875
43		64.453125
44		56.640625
45		62.500000
46		52.734375
47		58.593750
48		50.781250
49		54.687500
50		46.875000
51		52.734375
52		42.968750
53		48.828125
54		41.015625
55		46.875000
56		37.109375
57		42.968750
58		33.203125
59		39.062500
60		29.296875
61		35.156250
62		25.390625
63		31.250000
64		21.484375
65		27.343750
66		17.578125
67		23.437500
68		13.671875
69		17.578125
70		7.812500
71		15.625000
72		3.906250
73		11.718750
74		0.000000
75		5.859375
76		-3.906250
77		1.953125
78		-7.812500
79		-1.953125
80		-11.718750
81		-5.859375
82		-15.625000
83		-9.765625
84		-19.531250
85		-13.671875
86		-23.437500
87		-17.578125
88		-29.296875
89		-21.484375
90		-31.250000
91		-25.390625
92		-35.156250
93		-29.296875
94		-39.062500
95		-33.203125
96		-42.968750
97		-37.109375
98		-46.875000
99		-41.015625
100		-48.828125
101		-44.921875
102		-52.734375
103		-48.828125
104		-56.640625
105		-50.781250
106		-58.593750
107		-54.687500
108		-62.500000
109		-56.640625
110		-64.453125
111		-58.593750
112		-66.406250
113		-60.546875
114		-68.359375
115		-64.453125
116		-70.312500
117		-66.406250
118		-72.265625
119		-68.359375
120		-74.218750
121		-70.312500
122		-76.171875
123		-72.265625
124		-76.171875
125		-74.218750
126		-78.125000
127		-74.218750
128		-80.078125
129		-74.218750
130		-78.125000
131		-76.171875
132		-80.078125
133		-76.171875
134		-80.078125
135		-76.171875
136		-78.125000
137		-76.171875
138		-80.078125
139		-76.171875
140		-78.125000
141		-76.171875
142		-78.125000
143		-74.218750
144		-78.125000
145		-74.218750
146		-76.171875
147		-72.265625
148		-74.218750
149		-70.312500
150		-74.218750
151		-70.312500
152		-70.312500
153		-66.406250
154		-70.312500
155		-64.453125
156		-68.359375
157		-62.500000
158		-64.453125
159		-60.546875
160		-62.500000
161		-58.593750
162		-58.593750
163		-54.687500
164		-56.640625
165		-52.734375
166		-54.687500
167		-48.828125
168		-50.781250
169		-44.921875
170		-46.875000
171		-42.968750
172		-42.968750
173		-39.062500
174		-41.015625
175		-35.156250
176		-37.109375
177		-31.250000
178		-33.203125
179		-27.343750
180		-29.296875
181		-23.437500
182		-25.390625
183		-19.531250
184		-21.484375
185		-15.625000
186		-17.578125
187		-11.718750
188		-13.671875
189		-7.812500
190		-9.765625
191		-3.906250
192		-3.906250
193		1.953125
194		0.000000
195		3.906250
196		3.906250
197		9.765625
198		7.812500
199		13.671875
200		11.718750
201		17.578125
202		15.625000
203		21.484375
204		19.531250
205		25.390625
206		23.437500
207		29.296875
208		27.343750
209		33.203125
210		31.250000
211		37.109375
212		35.156250
213		41.015625
214		39.062500
215		42.968750
216		42.968750
217		48.828125
218		44.921875
219		50.781250
220		48.828125
221		54.687500
222		52.734375
223		56.640625
224		54.687500
225		60.546875
226		58.593750
227		62.500000
228		62.500000
229		66.406250
230		64.453125
231		68.359375
232		66.406250
233		72.265625
234		68.359375
235		74.218750
236		72.265625
237		74.218750
238		74.218750
239		78.125000
240		76.171875
241		80.078125
242		76.171875
243		80.078125
244		78.125000
245		82.031250
246		80.078125
247		83.984375
248		82.031250
249		83.984375
250		82.031250
251		85.937500
252		83.984375
253		85.937500
254		83.984375
255		87.890625
256		83.984375
257		87.890625
258		85.937500
259		87.890625
260		85.937500
261		87.890625
262		85.937500
263		87.890625
264		85.937500
265		87.890625
266		85.937500
267		87.890625
268		83.984375
269		87.890625
270		83.984375
271		85.937500
272		82.031250
273		85.937500
274		82.031250
275		83.984375
276		80.078125
277		83.984375
278		78.125000
279		82.031250
280		76.171875
281		80.078125
282		76.171875
283		80.078125
284		72.265625
285		78.125000
286		72.265625
287		74.218750
288		68.359375
289		72.265625
290		66.406250
291		70.312500
292		62.500000
293		68.359375
294		60.546875
295		66.406250
296		58.593750
297		64.453125
298		54.687500
299		60.546875
300		52.734375
301		58.593750
302		48.828125
303		54.687500
304		44.921875
305		50.781250
306		41.015625
307		46.875000
308		37.109375
309		42.968750
310		35.156250
311		39.062500
312		31.250000
313		37.109375
314		25.390625
315		33.203125
316		23.437500
317		29.296875
318		19.531250
319		25.390625
320		15.625000
321		21.484375
322		9.765625
323		15.625000
324		5.859375
325		11.718750
326		1.953125
327		7.812500
328		-1.953125
329		3.906250
330		-5.859375
331		0.000000
332		-9.765625
333		-3.906250
334		-13.671875
335		-7.812500
336		-17.578125
337		-11.718750
338		-23.437500
339		-15.625000
340		-27.343750
341		-21.484375
342		-29.296875
343		-23.437500
344		-33.203125
345		-29.296875
346		-37.109375
347		-31.250000
348		-42.968750
349		-35.156250
350		-46.875000
351		-39.062500
352		-48.828125
353		-42.968750
354		-50.781250
355		-46.875000
356		-54.687500
357		-48.828125
358		-56.640625
359		-52.734375
360		-60.546875
361		-54.687500
362		-62.500000
363		-58.593750
364		-66.406250
365		-60.546875
366		-66.406250
367		-64.453125
368		-70.312500
369		-64.453125
370		-72.265625
371		-68.359375
372		-74.218750
373		-70.312500
374		-74.218750
375		-70.312500
376		-76.171875
377		-72.265625
378		-78.125000
379		-74.218750
380		-78.125000
381		-74.218750
382		-78.125000
383		-76.171875
384		-80.078125
385		-76.171875
386		-78.125000
387		-76.171875
388		-78.125000
389		-76.171875
390		-80.078125
391		-76.171875
392		-78.125000
393		-76.171875
394		-78.125000
395		-74.218750
396		-76.171875
397		-74.218750
398		-76.171875
399		-72.265625
400		-76.171875
401		-70.312500
402		-74.218750
403		-70.312500
404		-72.265625
405		-68.359375
406		-70.312500
407		-66.406250
408		-68.359375
409		-62.500000
410		-66.406250
411		-60.546875
412		-62.500000
413		-58.593750
414		-60.546875
415		-56.640625
416		-58.593750
417		-52.734375
418		-54.687500
419		-50.781250
420		-50.781250
421		-46.875000
422		-48.828125
423		-42.968750
424		-44.921875
425		-39.062500
426		-42.968750
427		-37.109375
428		-39.062500
429		-33.203125
430		-33.203125
431		-29.296875
432		-31.250000
433		-25.390625
434		-25.390625
435		-19.531250
436		-23.437500
437		-17.578125
438		-17.578125
439		-13.671875
440		-15.625000
441		-7.812500
442		-11.718750
443		-3.906250
444		-5.859375
445		0.000000
446		-1.953125
447		3.906250
448		1.953125
449		7.812500
450		5.859375
451		11.718750
452		9.765625
453		15.625000
454		13.671875
455		19.531250
456		17.578125
457		25.390625
458		21.484375
459		27.343750
460		27.343750
461		33.203125
462		29.296875
463		35.156250
464		33.203125
465		39.062500
466		37.109375
467		42.968750
468		41.015625
469		46.875000
470		44.921875
471		48.828125
472		48.828125
473		52.734375
474		50.781250
475		56.640625
476		54.687500
477		58.593750
478		56.640625
479		62.500000
480		60.546875
481		66.406250
482		62.500000
483		68.359375
484		66.406250
485		70.312500
486		68.359375
487		72.265625
488		70.312500
489		74.218750
490		72.265625
491		76.171875
492		74.218750
493		78.125000
494		76.171875
495		80.078125
496		78.125000
497		82.031250
498		80.078125
499		83.984375
500		82.031250
501		83.984375
502		82.031250
503		85.937500
504		83.984375
505		85.937500
506		83.984375
507		87.890625
508		83.984375
509		87.890625
510		85.937500
511		87.890625
512		83.984375
513		89.843750
514		85.937500
515		87.890625
516		85.937500
517		89.843750
518		83.984375
519		87.890625
520		83.984375
521		87.890625
522		83.984375
523		87.890625
524		82.031250
525		85.937500
526		82.031250
527		85.937500
528		80.078125
529		83.984375
530		80.078125
531		83.984375
532		78.125000
533		82.031250
534		76.171875
535		80.078125
536		74.218750
537		78.125000
538		72.265625
539		76.171875
540		70.312500
541		74.218750
542		68.359375
543		72.265625
544		64.453125
545		70.312500
546		62.500000
547		68.359375
548		58.593750
549		64.453125
550		56.640625
551		60.546875
552		52.734375
553		58.593750
554		50.781250
555		54.687500
556		46.875000
557		52.734375
558		42.968750
559		48.828125
560		41.015625
561		44.921875
562		37.109375
563		42.968750
564		33.203125
565		37.109375
566		29.296875
567		35.156250
568		25.390625
569		31.250000
570		21.484375
571		27.343750
572		17.578125
573		23.437500
574		11.718750
575		17.578125
576		9.765625
577		13.671875
578		3.906250
579		9.765625
580		0.000000
581		5.859375
582		-3.906250
583		3.906250
584		-7.812500
585		-1.953125
586		-11.718750
587		-5.859375
588		-15.625000
589		-9.765625
590		-19.531250
591		-15.625000
592		-23.437500
593		-17.578125
594		-29.296875
595		-21.484375
596		-31.250000
597		-27.343750
598		-35.156250
599		-31.250000
600		-41.015625
601		-33.203125
602		-42.968750
603		-37.109375
604		-46.875000
605		-41.015625
606		-48.828125
607		-44.921875
608		-52.734375
609		-46.875000
610		-56.640625
611		-50.781250
612		-58.593750
613		-54.687500
614		-62.500000
615		-56.640625
616		-64.453125
617		-60.546875
618		-66.406250
619		-62.500000
620		-68.359375
621		-64.453125
622		-70.312500
623		-66.406250
624		-72.265625
625		-68.359375
626		-74.218750
627		-70.312500
628		-76.171875
629		-72.265625
630		-76.171875
631		-72.265625
632		-78.125000
633		-74.218750
634		-78.125000
635		-74.218750
636		-78.125000
637		-74.218750
638		-78.125000
639		-76.171875
640		-78.125000
641		-76.171875
642		-78.125000
643		-74.218750
644		-78.125000
645		-76.171875
646		-78.125000
647		-74.218750
648		-76.171875
649		-74.218750
650		-76.171875
651		-72.265625
652		-76.171875
653		-72.265625
654		-74.218750
655		-70.312500
656		-72.265625
657		-68.359375
658		-70.312500
659		-66.406250
660		-68.359375
661		-64.453125
662		-66.406250
663		-60.546875
664		-64.453125
665		-58.593750
666		-60.546875
667		-56.640625
668		-58.593750
669		-52.734375
670		-54.687500
671		-50.781250
672		-52.734375
673		-46.875000
674		-48.828125
675		-44.921875
676		-46.875000
677		-41.015625
678		-42.968750
679		-37.109375
680		-39.062500
681		-33.203125
682		-35.156250
683		-29.296875
684		-31.250000
685		-25.390625
686		-27.343750
687		-21.484375
688		-23.437500
689		-17.578125
690		-19.531250
691		-13.671875
692		-15.625000
693		-9.765625
694		-11.718750
695		-5.859375
696		-7.812500
697		-1.953125
698		-3.906250
699		3.906250
700		0.000000
701		5.859375
702		3.906250
703		11.718750
704		7.812500
705		15.625000
706		13.671875
707		19.531250
708		17.578125
709		23.437500
710		21.484375
711		27.343750
712		25.390625
713		31.250000
714		29.296875
715		35.156250
716		33.203125
717		39.062500
718		37.109375
719		41.015625
720		39.062500
721		44.921875
722		42.968750
723		48.828125
724		46.875000
725		52.734375
726		50.781250
727		54.687500
728		54.687500
729		58.593750
730		56.640625
731		62.500000
732		60.546875
733		64.453125
734		62.500000
735		66.406250
736		64.453125
737		70.312500
738		68.359375
739		72.265625
740		70.312500
741		74.218750
742		72.265625
743		76.171875
744		74.218750
745		78.125000
746		76.171875
747		80.078125
748		78.125000
749		82.031250
750		80.078125
751		83.984375
752		80.078125
753		83.984375
754		82.031250
755		85.937500
756		83.984375
757		85.937500
758		83.984375
759		87.890625
760		83.984375
761		87.890625
762		85.937500
763		87.890625
764		85.937500
765		87.890625
766		85.937500
767		89.843750
768		85.937500
769		89.843750
770		85.937500
771		89.843750
772		83.984375
773		89.843750
774		83.984375
775		87.890625
776		83.984375
777		87.890625
778		82.031250
779		85.937500
780		80.078125
781		85.937500
782		80.078125
783		83.984375
784		78.125000
785		82.031250
786		76.171875
787		82.031250
788		74.218750
789		80.078125
790		74.218750
791		78.125000
792		70.312500
793		76.171875
794		68.359375
795		74.218750
796		66.406250
797		70.312500
798		64.453125
799		68.359375
800		60.546875
801		66.406250
802		58.593750
803		62.500000
804		54.687500
805		60.546875
806		52.734375
807		56.640625
808		48.828125
809		52.734375
810		44.921875
811		50.781250
812		41.015625
813		46.875000
814		37.109375
815		42.968750
816		33.203125
817		39.062500
818		29.296875
819		37.109375
820		25.390625
821		31.250000
822		23.437500
823		29.296875
824		17.578125
825		23.437500
826		13.671875
