Channel              :		CH1
Frequency            :		1.981kHz
Period               :		0.505ms
PK-PK                :		46.88mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		25.390625
2		25.390625
3		29.296875
4		25.390625
5		29.296875
6		25.390625
7		29.296875
8		25.390625
9		29.296875
10		25.390625
11		29.296875
12		25.390625
13		29.296875
14		25.390625
15		27.343750
16		23.437500
17		27.343750
18		23.437500
19		27.343750
20		23.437500
21		27.343750
22		23.437500
23		27.343750
24		23.437500
25		25.390625
26		21.484375
27		25.390625
28		21.484375
29		25.390625
30		21.484375
31		23.437500
32		19.531250
33		23.437500
34		19.531250
35		23.437500
36		19.531250
37		23.437500
38		19.531250
39		21.484375
40		17.578125
41		21.484375
42		17.578125
43		21.484375
44		15.625000
45		19.531250
46		15.625000
47		17.578125
48		15.625000
49		17.578125
50		13.671875
51		17.578125
52		13.671875
53		15.625000
54		11.718750
55		15.625000
56		11.718750
57		13.671875
58		9.765625
59		13.671875
60		9.765625
61		11.718750
62		7.812500
63		11.718750
64		7.812500
65		9.765625
66		5.859375
67		9.765625
68		5.859375
69		9.765625
70		3.906250
71		7.812500
72		3.906250
73		7.812500
74		1.953125
75		5.859375
76		1.953125
77		5.859375
78		1.953125
79		5.859375
80		0.000000
81		3.906250
82		0.000000
83		3.906250
84		-1.953125
85		1.953125
86		-1.953125
87		1.953125
88		-1.953125
89		0.000000
90		-3.906250
91		0.000000
92		-3.906250
93		0.000000
94		-5.859375
95		-1.953125
96		-5.859375
97		-1.953125
98		-5.859375
99		-3.906250
100		-5.859375
101		-3.906250
102		-7.812500
103		-3.906250
104		-7.812500
105		-3.906250
106		-7.812500
107		-3.906250
108		-7.812500
109		-5.859375
110		-7.812500
111		-5.859375
112		-9.765625
113		-5.859375
114		-7.812500
115		-7.812500
116		-9.765625
117		-5.859375
118		-9.765625
119		-5.859375
120		-9.765625
121		-5.859375
122		-9.765625
123		-5.859375
124		-9.765625
125		-5.859375
126		-9.765625
127		-5.859375
128		-9.765625
129		-5.859375
130		-7.812500
131		-7.812500
132		-9.765625
133		-5.859375
134		-9.765625
135		-5.859375
136		-9.765625
137		-5.859375
138		-7.812500
139		-5.859375
140		-7.812500
141		-3.906250
142		-7.812500
143		-3.906250
144		-7.812500
145		-3.906250
146		-5.859375
147		-3.906250
148		-5.859375
149		-3.906250
150		-5.859375
