Channel              :		CH1
Frequency            :		1.973kHz
Period               :		0.507ms
PK-PK                :		39.06mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		23.437500
2		23.437500
3		19.531250
4		23.437500
5		19.531250
6		23.437500
7		19.531250
8		23.437500
9		19.531250
10		21.484375
11		17.578125
12		21.484375
13		17.578125
14		19.531250
15		17.578125
16		19.531250
17		15.625000
18		19.531250
19		15.625000
20		19.531250
21		13.671875
22		17.578125
23		13.671875
24		17.578125
25		13.671875
26		17.578125
27		13.671875
28		15.625000
29		11.718750
30		15.625000
31		11.718750
32		15.625000
33		11.718750
34		13.671875
35		9.765625
36		13.671875
37		9.765625
38		13.671875
39		7.812500
40		11.718750
41		7.812500
42		11.718750
43		7.812500
44		9.765625
45		5.859375
46		9.765625
47		5.859375
48		9.765625
49		5.859375
50		9.765625
51		3.906250
52		7.812500
53		3.906250
54		7.812500
55		3.906250
56		7.812500
57		1.953125
58		5.859375
59		1.953125
60		5.859375
61		1.953125
62		5.859375
63		1.953125
64		3.906250
65		1.953125
66		3.906250
67		1.953125
68		3.906250
69		0.000000
70		3.906250
71		0.000000
72		1.953125
73		0.000000
74		1.953125
75		0.000000
76		1.953125
77		-1.953125
78		1.953125
79		-1.953125
80		1.953125
81		-1.953125
82		1.953125
83		-1.953125
84		1.953125
85		-1.953125
86		0.000000
87		-1.953125
88		1.953125
89		-1.953125
90		1.953125
91		-1.953125
92		1.953125
93		-1.953125
94		1.953125
95		-1.953125
96		1.953125
97		-1.953125
98		0.000000
99		-1.953125
100		1.953125
101		-1.953125
102		1.953125
103		-1.953125
104		1.953125
105		-1.953125
106		1.953125
107		-1.953125
108		1.953125
109		0.000000
110		1.953125
111		0.000000
112		1.953125
113		-1.953125
114		3.906250
115		0.000000
116		3.906250
117		0.000000
118		3.906250
119		0.000000
120		3.906250
121		0.000000
122		3.906250
123		0.000000
124		3.906250
125		0.000000
126		5.859375
127		1.953125
128		5.859375
129		3.906250
130		5.859375
131		3.906250
132		5.859375
133		3.906250
134		7.812500
135		3.906250
136		7.812500
137		5.859375
138		7.812500
139		5.859375
140		9.765625
141		5.859375
142		9.765625
143		7.812500
144		9.765625
145		7.812500
146		11.718750
147		7.812500
148		11.718750
149		7.812500
150		11.718750
151		9.765625
152		11.718750
153		9.765625
154		13.671875
155		9.765625
156		13.671875
157		11.718750
158		15.625000
159		11.718750
160		15.625000
161		13.671875
162		15.625000
163		11.718750
164		17.578125
165		13.671875
166		17.578125
167		15.625000
168		17.578125
169		15.625000
170		19.531250
171		15.625000
172		19.531250
173		15.625000
174		19.531250
175		17.578125
176		21.484375
177		17.578125
178		19.531250
179		17.578125
180		21.484375
181		19.531250
182		21.484375
183		19.531250
184		23.437500
185		19.531250
186		23.437500
187		19.531250
188		23.437500
189		21.484375
190		23.437500
191		19.531250
192		25.390625
193		21.484375
194		25.390625
195		21.484375
196		25.390625
197		21.484375
198		25.390625
199		23.437500
200		25.390625
201		23.437500
202		25.390625
203		23.437500
204		27.343750
205		23.437500
206		27.343750
207		23.437500
208		27.343750
209		23.437500
210		27.343750
211		23.437500
212		27.343750
213		23.437500
214		27.343750
215		25.390625
216		27.343750
217		25.390625
218		27.343750
219		25.390625
220		27.343750
221		25.390625
222		27.343750
223		23.437500
224		27.343750
225		25.390625
226		27.343750
227		25.390625
228		27.343750
229		23.437500
230		27.343750
231		23.437500
232		27.343750
233		23.437500
234		27.343750
235		23.437500
236		27.343750
237		23.437500
238		27.343750
239		23.437500
240		27.343750
241		23.437500
242		27.343750
243		23.437500
244		25.390625
245		23.437500
246		25.390625
247		21.484375
248		25.390625
249		21.484375
250		25.390625
251		21.484375
252		25.390625
253		21.484375
254		23.437500
255		19.531250
256		23.437500
257		19.531250
258		23.437500
259		19.531250
260		23.437500
261		19.531250
262		21.484375
263		17.578125
264		21.484375
265		17.578125
266		21.484375
267		17.578125
268		21.484375
269		17.578125
270		19.531250
271		15.625000
272		19.531250
273		15.625000
274		19.531250
275		15.625000
276		19.531250
277		13.671875
278		17.578125
279		13.671875
280		15.625000
281		11.718750
282		15.625000
283		11.718750
284		15.625000
285		11.718750
286		13.671875
287		9.765625
288		13.671875
289		9.765625
290		13.671875
291		9.765625
292		13.671875
293		9.765625
294		13.671875
295		7.812500
296		11.718750
297		5.859375
298		11.718750
299		7.812500
300		9.765625
301		5.859375
302		9.765625
303		5.859375
304		9.765625
305		5.859375
306		7.812500
307		3.906250
308		7.812500
309		3.906250
310		7.812500
311		1.953125
312		5.859375
313		1.953125
314		5.859375
315		1.953125
316		5.859375
317		1.953125
318		3.906250
319		1.953125
320		3.906250
321		0.000000
322		3.906250
323		0.000000
324		3.906250
325		0.000000
326		3.906250
327		0.000000
328		1.953125
329		0.000000
330		1.953125
331		-1.953125
332		1.953125
333		-1.953125
334		1.953125
335		-1.953125
336		1.953125
337		-1.953125
338		1.953125
339		-1.953125
340		1.953125
341		-1.953125
342		1.953125
343		-1.953125
344		1.953125
345		-1.953125
346		0.000000
347		-1.953125
348		1.953125
349		-1.953125
350		0.000000
351		-1.953125
352		1.953125
353		-1.953125
354		1.953125
355		-1.953125
356		1.953125
357		-1.953125
358		1.953125
359		-1.953125
360		1.953125
361		0.000000
362		1.953125
363		0.000000
364		1.953125
365		-1.953125
366		1.953125
367		0.000000
368		1.953125
369		0.000000
370		1.953125
371		0.000000
372		3.906250
373		0.000000
374		3.906250
375		0.000000
376		3.906250
377		1.953125
378		5.859375
379		1.953125
380		3.906250
381		1.953125
382		5.859375
383		3.906250
384		5.859375
385		3.906250
386		5.859375
387		3.906250
388		7.812500
389		5.859375
390		7.812500
391		5.859375
392		9.765625
393		3.906250
394		9.765625
395		5.859375
396		9.765625
397		7.812500
398		9.765625
399		5.859375
400		11.718750
401		7.812500
402		11.718750
403		9.765625
404		13.671875
405		7.812500
406		13.671875
407		9.765625
408		13.671875
409		9.765625
410		13.671875
411		11.718750
412		15.625000
413		13.671875
414		15.625000
415		11.718750
416		17.578125
417		13.671875
418		17.578125
419		13.671875
420		17.578125
421		15.625000
422		17.578125
423		15.625000
424		19.531250
425		15.625000
426		19.531250
427		15.625000
428		19.531250
429		17.578125
430		19.531250
431		17.578125
432		21.484375
433		17.578125
434		21.484375
435		19.531250
436		21.484375
437		19.531250
438		23.437500
439		19.531250
440		23.437500
441		19.531250
442		23.437500
443		19.531250
444		23.437500
445		21.484375
446		23.437500
447		21.484375
448		25.390625
449		21.484375
450		25.390625
451		23.437500
452		25.390625
453		21.484375
454		25.390625
455		23.437500
456		27.343750
457		23.437500
458		27.343750
459		23.437500
460		27.343750
461		23.437500
462		27.343750
463		25.390625
464		27.343750
465		23.437500
466		27.343750
467		25.390625
468		27.343750
469		25.390625
470		27.343750
471		25.390625
472		27.343750
473		25.390625
474		27.343750
475		25.390625
476		27.343750
477		23.437500
478		27.343750
479		25.390625
480		27.343750
481		23.437500
482		27.343750
483		25.390625
484		27.343750
485		23.437500
486		27.343750
487		23.437500
488		27.343750
489		23.437500
490		27.343750
491		23.437500
492		27.343750
493		23.437500
494		27.343750
495		23.437500
496		25.390625
497		23.437500
498		25.390625
499		21.484375
500		27.343750
501		21.484375
502		25.390625
503		21.484375
504		25.390625
505		21.484375
506		23.437500
507		21.484375
508		25.390625
509		19.531250
510		23.437500
511		17.578125
512		25.390625
513		19.531250
514		21.484375
515		19.531250
516		23.437500
517		17.578125
518		21.484375
519		17.578125
520		21.484375
521		17.578125
522		19.531250
523		17.578125
524		19.531250
525		15.625000
526		19.531250
527		13.671875
528		19.531250
529		15.625000
530		17.578125
531		13.671875
532		17.578125
533		13.671875
534		17.578125
535		11.718750
536		15.625000
537		11.718750
538		15.625000
539		11.718750
540		13.671875
541		11.718750
542		13.671875
543		9.765625
544		13.671875
545		7.812500
546		13.671875
547		7.812500
548		11.718750
549		7.812500
550		11.718750
551		7.812500
552		9.765625
553		5.859375
554		9.765625
555		5.859375
556		9.765625
557		5.859375
558		7.812500
559		3.906250
560		7.812500
561		3.906250
562		7.812500
563		3.906250
564		5.859375
565		3.906250
566		5.859375
567		1.953125
568		5.859375
569		1.953125
570		5.859375
571		1.953125
572		3.906250
573		1.953125
574		5.859375
575		0.000000
576		3.906250
577		0.000000
578		3.906250
579		0.000000
580		1.953125
581		0.000000
582		1.953125
583		-1.953125
584		1.953125
585		0.000000
586		1.953125
587		-1.953125
588		1.953125
589		-1.953125
590		1.953125
591		-1.953125
592		1.953125
593		-1.953125
594		1.953125
595		-1.953125
596		1.953125
597		-1.953125
598		0.000000
599		-1.953125
600		1.953125
601		-1.953125
602		1.953125
603		-1.953125
604		1.953125
605		-1.953125
606		1.953125
607		-1.953125
608		1.953125
609		-1.953125
610		1.953125
611		-1.953125
612		1.953125
613		0.000000
614		1.953125
615		0.000000
616		1.953125
617		0.000000
618		3.906250
619		0.000000
620		1.953125
621		0.000000
622		3.906250
623		0.000000
624		3.906250
625		0.000000
626		3.906250
627		1.953125
628		3.906250
629		0.000000
630		3.906250
631		1.953125
632		3.906250
633		1.953125
634		5.859375
635		3.906250
636		5.859375
637		3.906250
638		5.859375
639		3.906250
640		7.812500
641		3.906250
642		7.812500
643		5.859375
644		9.765625
645		5.859375
646		9.765625
647		5.859375
648		9.765625
649		7.812500
650		9.765625
651		5.859375
652		11.718750
653		7.812500
654		11.718750
655		9.765625
656		11.718750
657		9.765625
658		13.671875
659		9.765625
660		13.671875
661		9.765625
662		13.671875
663		9.765625
664		15.625000
665		11.718750
666		15.625000
667		13.671875
668		15.625000
669		13.671875
670		17.578125
671		13.671875
672		17.578125
673		13.671875
674		17.578125
675		15.625000
676		17.578125
677		15.625000
678		19.531250
679		15.625000
680		19.531250
681		17.578125
682		19.531250
683		17.578125
684		21.484375
685		19.531250
686		21.484375
687		17.578125
688		21.484375
689		19.531250
690		23.437500
691		19.531250
692		23.437500
693		19.531250
694		23.437500
695		19.531250
696		25.390625
697		21.484375
698		25.390625
699		21.484375
700		25.390625
701		21.484375
702		25.390625
703		21.484375
704		25.390625
705		23.437500
706		25.390625
707		23.437500
708		25.390625
709		23.437500
710		27.343750
711		23.437500
712		27.343750
713		25.390625
714		27.343750
715		25.390625
716		27.343750
717		23.437500
718		29.296875
719		23.437500
720		27.343750
721		23.437500
722		29.296875
723		25.390625
724		27.343750
725		25.390625
726		29.296875
727		25.390625
728		27.343750
729		25.390625
730		29.296875
731		25.390625
732		27.343750
733		25.390625
734		29.296875
735		25.390625
736		29.296875
737		25.390625
738		27.343750
739		23.437500
740		27.343750
741		23.437500
742		29.296875
743		23.437500
744		27.343750
745		25.390625
746		27.343750
747		23.437500
748		27.343750
749		23.437500
750		25.390625
751		23.437500
752		25.390625
753		23.437500
754		25.390625
755		23.437500
756		25.390625
757		21.484375
758		25.390625
759		21.484375
760		25.390625
761		21.484375
762		25.390625
763		19.531250
764		23.437500
765		21.484375
766		23.437500
767		19.531250
768		23.437500
769		19.531250
770		21.484375
771		19.531250
772		21.484375
773		17.578125
774		21.484375
775		17.578125
776		21.484375
777		17.578125
778		19.531250
779		15.625000
780		19.531250
781		15.625000
782		17.578125
783		15.625000
784		17.578125
785		13.671875
786		17.578125
787		13.671875
788		15.625000
789		11.718750
790		17.578125
791		11.718750
792		15.625000
793		11.718750
794		15.625000
795		11.718750
796		13.671875
797		9.765625
798		13.671875
799		9.765625
800		13.671875
801		7.812500
802		11.718750
803		7.812500
804		11.718750
805		7.812500
806		11.718750
807		7.812500
808		9.765625
809		5.859375
810		9.765625
811		5.859375
812		9.765625
813		3.906250
814		9.765625
815		3.906250
816		7.812500
817		3.906250
818		7.812500
819		3.906250
820		7.812500
821		1.953125
822		5.859375
