Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		19.53mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
1		7.812500
2		7.812500
3		5.859375
4		7.812500
5		5.859375
6		7.812500
7		5.859375
8		7.812500
9		5.859375
10		7.812500
11		5.859375
12		7.812500
13		5.859375
14		7.812500
15		5.859375
16		7.812500
17		5.859375
18		7.812500
19		5.859375
20		7.812500
21		5.859375
22		7.812500
23		5.859375
24		7.812500
25		5.859375
26		7.812500
27		5.859375
28		7.812500
29		5.859375
30		7.812500
31		5.859375
32		7.812500
33		5.859375
34		7.812500
35		5.859375
36		7.812500
37		5.859375
38		7.812500
39		5.859375
40		7.812500
41		5.859375
42		7.812500
43		5.859375
44		7.812500
45		5.859375
46		7.812500
47		5.859375
48		7.812500
49		5.859375
50		7.812500
51		5.859375
52		7.812500
53		5.859375
54		7.812500
55		5.859375
56		7.812500
57		5.859375
58		7.812500
59		5.859375
60		9.765625
61		5.859375
62		9.765625
63		5.859375
64		9.765625
65		7.812500
66		9.765625
67		7.812500
68		9.765625
69		7.812500
70		9.765625
71		7.812500
72		9.765625
73		7.812500
74		9.765625
75		7.812500
76		9.765625
77		7.812500
78		9.765625
79		7.812500
80		9.765625
81		7.812500
82		9.765625
83		7.812500
84		9.765625
85		7.812500
86		11.718750
87		9.765625
88		11.718750
89		9.765625
90		11.718750
91		9.765625
92		11.718750
93		9.765625
94		11.718750
95		9.765625
96		11.718750
97		9.765625
98		11.718750
99		9.765625
100		11.718750
101		9.765625
102		11.718750
103		9.765625
104		13.671875
105		9.765625
106		13.671875
107		11.718750
108		13.671875
109		11.718750
110		13.671875
111		11.718750
112		13.671875
113		11.718750
114		13.671875
115		11.718750
116		13.671875
117		11.718750
118		13.671875
119		11.718750
120		13.671875
121		11.718750
122		13.671875
123		11.718750
124		15.625000
125		11.718750
126		13.671875
127		11.718750
128		15.625000
129		13.671875
130		15.625000
131		13.671875
132		15.625000
133		13.671875
134		15.625000
135		13.671875
136		15.625000
137		13.671875
138		15.625000
139		13.671875
140		15.625000
141		13.671875
142		15.625000
143		13.671875
144		15.625000
145		13.671875
146		15.625000
147		13.671875
148		15.625000
149		13.671875
150		15.625000
151		13.671875
152		15.625000
153		13.671875
154		15.625000
155		13.671875
156		15.625000
157		13.671875
158		15.625000
159		13.671875
160		15.625000
161		13.671875
162		15.625000
163		13.671875
164		15.625000
165		13.671875
166		15.625000
167		13.671875
168		15.625000
169		13.671875
170		15.625000
171		11.718750
172		15.625000
173		13.671875
174		15.625000
175		13.671875
176		15.625000
177		13.671875
178		15.625000
179		13.671875
180		15.625000
181		11.718750
182		15.625000
183		13.671875
184		15.625000
185		11.718750
186		15.625000
187		11.718750
188		13.671875
189		11.718750
190		13.671875
191		11.718750
192		13.671875
193		11.718750
194		15.625000
195		11.718750
196		13.671875
197		11.718750
198		13.671875
199		11.718750
200		13.671875
201		11.718750
202		13.671875
203		9.765625
204		13.671875
205		9.765625
206		13.671875
207		9.765625
208		11.718750
209		9.765625
210		11.718750
211		9.765625
212		11.718750
213		9.765625
214		11.718750
215		9.765625
216		11.718750
217		9.765625
218		11.718750
219		9.765625
220		11.718750
221		9.765625
222		11.718750
223		9.765625
224		11.718750
225		7.812500
226		11.718750
227		7.812500
228		11.718750
229		7.812500
230		9.765625
231		7.812500
232		9.765625
233		7.812500
234		9.765625
235		7.812500
236		9.765625
237		7.812500
238		9.765625
239		7.812500
240		9.765625
241		7.812500
242		9.765625
243		5.859375
244		9.765625
245		7.812500
246		9.765625
247		7.812500
248		9.765625
249		5.859375
250		9.765625
251		5.859375
252		9.765625
253		5.859375
254		7.812500
255		5.859375
256		7.812500
257		5.859375
258		7.812500
259		5.859375
260		7.812500
261		5.859375
262		7.812500
263		5.859375
264		7.812500
265		5.859375
266		7.812500
267		5.859375
268		7.812500
269		5.859375
270		7.812500
271		5.859375
272		7.812500
273		5.859375
274		7.812500
275		5.859375
276		7.812500
277		5.859375
278		7.812500
279		5.859375
280		7.812500
281		5.859375
282		7.812500
283		5.859375
284		7.812500
285		5.859375
286		7.812500
287		5.859375
288		7.812500
289		5.859375
290		7.812500
291		5.859375
292		7.812500
293		5.859375
294		7.812500
295		5.859375
296		7.812500
297		5.859375
298		7.812500
299		5.859375
300		7.812500
301		5.859375
302		7.812500
303		5.859375
304		7.812500
305		5.859375
306		9.765625
307		5.859375
308		7.812500
309		5.859375
310		7.812500
311		5.859375
312		7.812500
313		5.859375
314		9.765625
315		5.859375
316		9.765625
317		7.812500
318		9.765625
319		7.812500
320		9.765625
321		7.812500
322		9.765625
323		7.812500
324		9.765625
325		7.812500
326		9.765625
327		7.812500
328		9.765625
329		7.812500
330		9.765625
331		7.812500
332		9.765625
333		7.812500
334		9.765625
335		7.812500
336		9.765625
337		7.812500
338		9.765625
339		7.812500
340		11.718750
341		9.765625
342		11.718750
343		9.765625
344		11.718750
345		9.765625
346		11.718750
347		9.765625
348		11.718750
349		9.765625
350		11.718750
351		9.765625
352		11.718750
353		9.765625
354		11.718750
355		9.765625
356		11.718750
357		9.765625
358		13.671875
359		11.718750
360		13.671875
361		9.765625
362		13.671875
363		11.718750
364		13.671875
365		11.718750
366		13.671875
367		11.718750
368		13.671875
369		11.718750
370		13.671875
371		11.718750
372		13.671875
373		11.718750
374		13.671875
375		11.718750
376		13.671875
377		11.718750
378		15.625000
379		11.718750
380		15.625000
381		11.718750
382		15.625000
383		11.718750
384		15.625000
385		13.671875
386		15.625000
387		13.671875
388		15.625000
389		13.671875
390		15.625000
391		13.671875
392		15.625000
393		13.671875
394		15.625000
395		13.671875
396		15.625000
397		13.671875
398		15.625000
399		13.671875
400		15.625000
401		13.671875
402		15.625000
403		13.671875
404		15.625000
405		13.671875
406		15.625000
407		13.671875
408		15.625000
409		13.671875
410		15.625000
411		13.671875
412		15.625000
413		13.671875
414		15.625000
415		13.671875
416		15.625000
417		13.671875
418		15.625000
419		13.671875
420		15.625000
421		13.671875
422		15.625000
423		13.671875
424		15.625000
425		13.671875
426		15.625000
427		13.671875
428		15.625000
429		13.671875
430		15.625000
431		13.671875
432		15.625000
433		13.671875
434		15.625000
435		13.671875
436		15.625000
437		13.671875
438		15.625000
439		11.718750
440		15.625000
441		11.718750
442		15.625000
443		11.718750
444		13.671875
445		11.718750
446		13.671875
447		11.718750
448		13.671875
449		11.718750
450		13.671875
451		11.718750
452		13.671875
453		11.718750
454		13.671875
455		11.718750
456		13.671875
457		11.718750
458		13.671875
459		9.765625
460		13.671875
461		9.765625
462		13.671875
463		9.765625
464		13.671875
465		9.765625
466		11.718750
467		9.765625
468		11.718750
469		9.765625
470		11.718750
471		9.765625
472		11.718750
473		9.765625
474		11.718750
475		9.765625
476		11.718750
477		9.765625
478		11.718750
479		7.812500
480		11.718750
481		7.812500
482		11.718750
483		7.812500
484		9.765625
485		7.812500
486		9.765625
487		7.812500
488		9.765625
489		7.812500
490		9.765625
491		7.812500
492		9.765625
493		7.812500
494		9.765625
495		7.812500
496		9.765625
497		5.859375
498		9.765625
499		7.812500
500		9.765625
501		7.812500
502		9.765625
503		5.859375
504		9.765625
505		7.812500
506		9.765625
507		5.859375
508		9.765625
509		5.859375
510		7.812500
511		5.859375
512		7.812500
513		5.859375
514		7.812500
515		5.859375
516		7.812500
517		5.859375
518		7.812500
519		5.859375
520		7.812500
521		5.859375
522		7.812500
523		5.859375
524		7.812500
525		5.859375
526		7.812500
527		5.859375
528		7.812500
529		5.859375
530		7.812500
531		5.859375
532		7.812500
533		5.859375
534		7.812500
535		5.859375
536		7.812500
537		5.859375
538		7.812500
539		5.859375
540		7.812500
541		5.859375
542		7.812500
543		5.859375
544		7.812500
545		5.859375
546		7.812500
547		5.859375
548		7.812500
549		5.859375
550		7.812500
551		5.859375
552		7.812500
553		5.859375
554		9.765625
555		5.859375
556		7.812500
557		5.859375
558		7.812500
559		5.859375
560		7.812500
561		5.859375
562		7.812500
563		5.859375
564		7.812500
565		5.859375
566		9.765625
567		5.859375
568		9.765625
569		7.812500
570		9.765625
571		7.812500
572		9.765625
573		7.812500
574		9.765625
575		7.812500
576		9.765625
577		7.812500
578		9.765625
579		7.812500
580		9.765625
581		7.812500
582		9.765625
583		7.812500
584		9.765625
585		7.812500
586		9.765625
587		7.812500
588		11.718750
589		7.812500
590		9.765625
591		9.765625
592		9.765625
593		7.812500
594		11.718750
595		9.765625
596		11.718750
597		9.765625
598		11.718750
599		9.765625
600		11.718750
601		9.765625
602		11.718750
603		9.765625
604		11.718750
605		9.765625
606		11.718750
607		9.765625
608		11.718750
609		9.765625
610		13.671875
611		9.765625
612		13.671875
613		11.718750
614		13.671875
615		11.718750
616		13.671875
617		11.718750
618		13.671875
619		11.718750
620		13.671875
621		11.718750
622		13.671875
623		11.718750
624		13.671875
625		11.718750
626		13.671875
627		11.718750
628		13.671875
629		11.718750
630		15.625000
631		11.718750
632		15.625000
633		11.718750
634		15.625000
635		11.718750
636		15.625000
637		13.671875
638		15.625000
639		13.671875
640		15.625000
641		13.671875
642		15.625000
643		13.671875
644		15.625000
645		13.671875
646		15.625000
647		13.671875
648		15.625000
649		13.671875
650		15.625000
651		13.671875
652		15.625000
653		13.671875
654		15.625000
